action_index,Server_J,Server_K,R_req,Rho,Mean_Pair_Reliability,Mean_Latency,Mean_Reward,Reliability_Violation_Rate,Selection_Feasibility_Rate,Oracle_Selection_Frequency,In_Optimal_Set_Frequency,Pareto_Front
8,2,4,0.99,0.29867099860174734,0.998340884566982,1.8580125518195902,59.13998013715063,0.030000000000000027,1.0,0.0,0.011,False
8,2,4,0.999,0.29867099860174734,0.998340884566982,1.8580125518195902,38.46671353847825,0.33799999999999997,1.0,0.0,0.005,False
8,2,4,0.9999,0.29867099860174734,0.998340884566982,1.8580125518195902,-6.198357823404349,0.903,1.0,0.0,0.0,False
9,2,5,0.9,0.05141579143797567,0.9988741201711223,1.9986234796893156,56.98135097697721,0.0,1.0,0.0,0.0,False
9,2,5,0.99,0.05141579143797567,0.9988741201711223,1.9986234796893156,56.397214279242746,0.010000000000000009,1.0,0.0,0.0,False
9,2,5,0.999,0.05141579143797567,0.9988741201711223,1.9986234796893156,39.14431694259955,0.28700000000000003,1.0,0.0,0.0,False
9,2,5,0.9999,0.05141579143797567,0.9988741201711223,1.9986234796893156,-4.499922649044433,0.878,1.0,0.0,0.0,False
10,2,6,0.9,0.19052302251529626,0.9993202093451118,1.630928768109412,67.06270345836379,0.0,1.0,0.0,0.709,False
10,2,6,0.99,0.19052302251529626,0.9993202093451118,1.630928768109412,66.9446703118411,0.0020000000000000018,1.0,0.001,0.708,False
10,2,6,0.999,0.19052302251529626,0.9993202093451118,1.630928768109412,54.74627453398344,0.17700000000000005,1.0,0.109,0.578,False
10,2,6,0.9999,0.19052302251529626,0.9993202093451118,1.630928768109412,6.0706115997812695,0.794,1.0,0.08,0.146,False
11,2,7,0.9,0.15181352681030647,0.9995525928645371,2.126786150105983,55.680163080418374,0.0,1.0,0.0,0.119,False
11,2,7,0.99,0.15181352681030647,0.9995525928645371,2.126786150105983,55.680163080418374,0.0,1.0,0.0,0.119,False
11,2,7,0.999,0.15181352681030647,0.9995525928645371,2.126786150105983,49.370865649119345,0.10499999999999998,1.0,0.008,0.109,False
11,2,7,0.9999,0.15181352681030647,0.9995525928645371,2.126786150105983,9.998727386912583,0.698,1.0,0.026,0.046,False
12,2,8,0.9,0.1712773597674974,0.9996900006292844,2.0432840800345713,57.527262061674314,0.0,1.0,0.0,0.161,False
12,2,8,0.99,0.1712773597674974,0.9996900006292844,2.0432840800345713,57.527262061674314,0.0,1.0,0.0,0.161,False
12,2,8,0.999,0.1712773597674974,0.9996900006292844,2.0432840800345713,53.825783536553914,0.06000000000000005,1.0,0.014,0.147,False
12,2,8,0.9999,0.1712773597674974,0.9996900006292844,2.0432840800345713,20.111879504438182,0.565,1.0,0.024,0.062,False
13,3,4,0.9,0.1724905931622923,0.9989291469660456,1.8580125518195902,60.978041302493175,0.0,1.0,0.0,0.011,False
13,3,4,0.99,0.1724905931622923,0.9989291469660456,1.8580125518195902,60.702506080824,0.0050000000000000044,1.0,0.0,0.011,False
13,3,4,0.999,0.1724905931622923,0.9989291469660456,1.8580125518195902,41.39643059560889,0.30200000000000005,1.0,0.002,0.008,False
13,3,4,0.9999,0.1724905931622923,0.9989291469660456,1.8580125518195902,-2.9344488332446113,0.866,1.0,0.004,0.005,False
14,3,5,0.9,0.1799694244100487,0.9989968749866888,1.9986234796893156,56.98135097697721,0.0,1.0,0.0,0.0,False
14,3,5,0.99,0.1799694244100487,0.9989968749866888,1.9986234796893156,56.40513642411564,0.010000000000000009,1.0,0.0,0.0,False
14,3,5,0.999,0.1799694244100487,0.9989968749866888,1.9986234796893156,41.31773879528198,0.25,1.0,0.0,0.0,False
14,3,5,0.9999,0.1799694244100487,0.9989968749866888,1.9986234796893156,-0.5720909022087128,0.827,1.0,0.001,0.001,False
15,3,6,0.9,0.07696016346817264,0.9994758891959039,1.6300666385501603,67.0768000395851,0.0,1.0,0.0,0.709,True
15,3,6,0.99,0.07696016346817264,0.9994758891959039,1.6300666385501603,66.95121931963371,0.0020000000000000018,1.0,0.0,0.709,True
15,3,6,0.999,0.07696016346817264,0.9994758891959039,1.6300666385501603,58.20165700535629,0.132,1.0,0.041,0.626,True
15,3,6,0.9999,0.07696016346817264,0.9994758891959039,1.6300666385501603,9.999871553636721,0.747,1.0,0.06,0.18,True
