episode,task_id,state_id,split,dataset_index,max_backlog,load,requirement,safe_set_bin,safe_set_size,effective_set_size,action_index,selected_action,myopic_action,probability,q_h5,q_h10,q_h20,q_h50,legacy_q_h5,legacy_q_h10,legacy_q_h20,legacy_q_h50
296,67,ep296_task067,test,59066,0.4148416005724402,medium,0.99,16-28,28,28,20,5,5,0.07289029657840729,236.9061634984484,300.547313580688,325.6916357245155,331.66031599230445,236.7778231051172,461.65970108045383,597.4021869623439,669.2416045813346
296,67,ep296_task067,test,59066,0.4148416005724402,medium,0.99,16-28,28,28,21,5,5,0.0566113218665123,226.97739884157272,290.61854892381234,315.76287106763976,321.7315513354287,228.73552373304784,453.6174017083845,589.3598875902745,661.1993052092653
296,67,ep296_task067,test,59066,0.4148416005724402,medium,0.99,16-28,28,28,22,5,5,0.03910799324512482,228.33631569030752,291.97746577254713,317.1217879163746,323.0904681841636,229.67607000909112,454.55794798442776,590.3004338663178,662.1398514853086
296,67,ep296_task067,test,59066,0.4148416005724402,medium,0.99,16-28,28,28,23,5,5,0.053820449858903885,234.2483940641106,297.8895441463502,323.03386629017774,329.0025465579667,234.46485349187162,459.3467314672083,595.0892173490984,666.9286349680891
296,67,ep296_task067,test,59066,0.4148416005724402,medium,0.99,16-28,28,28,24,5,5,0.044504646211862564,217.3913337486611,281.03248383090073,306.1768059747282,312.14548624251717,220.81063463635752,445.69251261169416,581.4349984935842,653.274416112575
296,67,ep296_task067,test,59066,0.4148416005724402,medium,0.99,16-28,28,28,25,5,5,0.088449627161026,236.9061634984484,300.547313580688,325.6916357245155,331.66031599230445,236.7778231051172,461.65970108045383,597.4021869623439,669.2416045813346
296,67,ep296_task067,test,59066,0.4148416005724402,medium,0.99,16-28,28,28,26,5,5,0.08144216984510422,230.99408512464532,294.63523520688494,319.7795573507124,325.7482376185014,231.9890396223367,456.8709175976734,592.6134034795634,664.4528210985542
296,67,ep296_task067,test,59066,0.4148416005724402,medium,0.99,16-28,28,28,27,5,5,0.09372349083423615,236.9061634984484,300.547313580688,325.6916357245155,331.66031599230445,236.7778231051172,461.65970108045383,597.4021869623439,669.2416045813346
296,81,ep296_task081,test,59080,0.0,low,0.99,16-28,28,28,0,5,6,0.008844609372317791,253.13345098851644,389.5677813703067,458.55906335546496,461.52037727207824,184.4066941050055,344.25337315614746,521.7426930739801,572.52212841381
296,81,ep296_task081,test,59080,0.0,low,0.99,16-28,28,28,1,5,6,0.009210297837853432,254.70917071369124,391.1435010954815,460.13478308063975,463.096096997253,185.68302708239707,345.52970613353904,523.0190260513717,573.7984613912016
