trial_id,policy,server_id,selection_count,primary_count,backup_count,utilization,mean_queue_length,p95_queue_length,mean_waiting_time,busy_time,observation_time,replica_wait_count
3,Masked PPO greedy,7,3828,3705,123,0.6836964247917398,0.9925341892435005,4.0,2.101497449030856,5541.3888888888905,8105.042951741116,3828
3,Masked PPO greedy,8,3864,0,3864,0.6281397927578332,0.7143851345188159,3.0,1.4984788300622045,5091.1,8105.042951741116,3864
4,Masked PPO greedy,1,0,0,0,0.0,0.0,0.0,0.0,0.0,8196.383884509518,0
4,Masked PPO greedy,2,0,0,0,0.0,0.0,0.0,0.0,0.0,8196.383884509518,0
4,Masked PPO greedy,3,0,0,0,0.0,0.0,0.0,0.0,0.0,8196.383884509518,0
4,Masked PPO greedy,4,8,8,0,0.0031634159397504,0.0,0.0,0.0,25.928571428571416,8196.383884509518,8
4,Masked PPO greedy,5,18,18,0,0.0059375777601928,4.139255271993197e-05,0.0,0.0188482917806867,48.666666666666686,8196.383884509518,18
4,Masked PPO greedy,6,136,135,1,0.0282764581488635,0.0022834846766513,0.0,0.1376199779722761,231.76470588235296,8196.383884509518,136
4,Masked PPO greedy,7,3873,3839,34,0.6937747822172352,1.0788559650356586,5.0,2.2831700608120937,5686.444444444447,8196.383884509518,3873
4,Masked PPO greedy,8,3965,0,3965,0.637665350189093,0.840593991740762,4.0,1.7376623070162691,5226.55,8196.383884509518,3965
5,Masked PPO greedy,1,0,0,0,0.0,0.0,0.0,0.0,0.0,8287.690744049589,0
5,Masked PPO greedy,2,11,11,0,0.0051884175372824,0.0,0.0,0.0,43.0,8287.690744049589,11
5,Masked PPO greedy,3,0,0,0,0.0,0.0,0.0,0.0,0.0,8287.690744049589,0
5,Masked PPO greedy,4,77,77,0,0.0223308801313932,0.0037905186224333,0.0,0.4079824169128367,185.07142857142856,8287.690744049589,77
5,Masked PPO greedy,5,1,1,0,0.0004022029098668,0.0,0.0,0.0,3.333333333333343,8287.690744049589,1
5,Masked PPO greedy,6,94,94,0,0.0248561398297715,0.0006069601583859,0.0,0.0535138094325773,206.0,8287.690744049589,94
5,Masked PPO greedy,7,3850,3817,33,0.6739244923910687,0.8600009726307287,4.0,1.851278467726061,5585.277777777777,8287.690744049589,3850
5,Masked PPO greedy,8,3967,0,3967,0.6320759499576057,0.6421569472886572,3.0,1.3415674787676697,5238.45,8287.690744049589,3967
6,Masked PPO greedy,1,0,0,0,0.0,0.0,0.0,0.0,0.0,8201.413715256644,0
6,Masked PPO greedy,2,0,0,0,0.0,0.0,0.0,0.0,0.0,8201.413715256644,0
6,Masked PPO greedy,3,0,0,0,0.0,0.0,0.0,0.0,0.0,8201.413715256644,0
6,Masked PPO greedy,4,22,22,0,0.0073419397929252,0.0001553592917487,0.0,0.0579166284609558,60.21428571428567,8201.413715256644,22
6,Masked PPO greedy,5,2,2,0,0.000577136271583,0.0,0.0,0.0,4.7333333333333485,8201.413715256644,2
6,Masked PPO greedy,6,78,75,3,0.0199535183207628,0.0012474665465031,0.0,0.131166528766855,163.6470588235293,8201.413715256644,78
6,Masked PPO greedy,7,3942,3901,41,0.7021621420596774,1.020422527616647,4.0,2.1230104803023893,5758.722222222222,8201.413715256644,3942
6,Masked PPO greedy,8,3956,0,3956,0.6374937518728003,0.6752740886618767,3.0,1.3999499930002388,5228.35,8201.413715256644,3956
7,Masked PPO greedy,1,0,0,0,0.0,0.0,0.0,0.0,0.0,8239.184315871169,0
7,Masked PPO greedy,2,0,0,0,0.0,0.0,0.0,0.0,0.0,8239.184315871169,0
7,Masked PPO greedy,3,23,23,0,0.0098411845426424,0.0003289224973412,0.0,0.117828394836145,81.08333333333326,8239.184315871169,23
7,Masked PPO greedy,4,0,0,0,0.0,0.0,0.0,0.0,0.0,8239.184315871169,0
7,Masked PPO greedy,5,30,14,16,0.0086497235569042,0.000517050697061,0.0,0.1420025331245132,71.26666666666674,8239.184315871169,30
7,Masked PPO greedy,6,186,186,0,0.0402167166643163,0.0044417857244408,0.0,0.1967564047057727,331.35294117647027,8239.184315871169,186
7,Masked PPO greedy,7,3917,3777,140,0.6941355954489776,0.9989779467190336,4.0,2.101292680752782,5719.111111111111,8239.184315871169,3917
7,Masked PPO greedy,8,3844,0,3844,0.6147513887076391,0.4987205592329038,2.0,1.0689517714969403,5065.050000000001,8239.184315871169,3844
8,Masked PPO greedy,1,0,0,0,0.0,0.0,0.0,0.0,0.0,8143.999098672735,0
8,Masked PPO greedy,2,52,52,0,0.0188984661029953,0.0068269871505055,0.0,1.069211100007072,153.90909090909102,8143.999098672735,52
8,Masked PPO greedy,3,1,1,0,0.0005116241561649,0.0,0.0,0.0,4.166666666666657,8143.999098672735,1
8,Masked PPO greedy,4,24,24,0,0.0083409355287922,0.0003075823219582,0.0,0.1043729230331536,67.9285714285714,8143.999098672735,24
8,Masked PPO greedy,5,11,11,0,0.0038719716138564,0.0,0.0,0.0,31.533333333333413,8143.999098672735,11
