Alpha,Heterogeneity_Scenario,Beta_p,Task_ID,Primary_Server,Best_Backup,Second_Backup,Best_Marginal,Second_Marginal,Marginal_Ratio,Best_Rho,Second_Rho,Best_Amplification,Second_Amplification,Required_Amplification_Ratio,Observed_Amplification_Ratio,Reversal_Margin,Actual_Reversal
0.0,H0,0.0,7,7,8,1,0.0025456883958761343,0.00959985940120307,3.771026892668513,0.12671319237019502,0.13817150844591128,1.0,1.0,3.771026892668513,1.0,0.26517975831574203,False
0.0,H0,0.0,7,8,7,1,0.0035710045215002493,0.00959985940120307,2.688279822499351,0.12671319237019502,0.025396350832529932,1.0,1.0,2.688279822499351,1.0,0.3719850856412257,False
0.0,H0,0.0,8,1,8,7,0.0016359513780988277,0.0022952783312863018,1.4030235629335703,0.025396350832529932,0.13817150844591128,1.0,1.0,1.4030235629335703,1.0,0.712746404564374,False
0.0,H0,0.0,8,2,8,7,0.0016359513780988277,0.0022952783312863018,1.4030235629335703,0.1712773597674974,0.15181352681030647,1.0,1.0,1.4030235629335703,1.0,0.712746404564374,False
0.0,H0,0.0,8,3,8,7,0.0016359513780988277,0.0022952783312863018,1.4030235629335703,0.02802898486305948,0.2198676965397751,1.0,1.0,1.4030235629335703,1.0,0.712746404564374,False
0.0,H0,0.0,8,4,8,7,0.0016359513780988277,0.0022952783312863018,1.4030235629335703,0.09898217615586608,0.3447276787973151,1.0,1.0,1.4030235629335703,1.0,0.712746404564374,False
0.0,H0,0.0,8,5,8,7,0.0016359513780988277,0.0022952783312863018,1.4030235629335703,0.07217003908143543,0.3245189745730765,1.0,1.0,1.4030235629335703,1.0,0.712746404564374,False
0.0,H0,0.0,8,6,8,7,0.0016359513780988277,0.0022952783312863018,1.4030235629335703,0.3540107070824934,0.3499394055117266,1.0,1.0,1.4030235629335703,1.0,0.712746404564374,False
0.0,H0,0.0,8,7,8,1,0.0016359513780988277,0.006177038487002683,3.7758081136745916,0.12671319237019502,0.13817150844591128,1.0,1.0,3.7758081136745916,1.0,0.26484396714397823,False
0.0,H0,0.0,8,8,7,1,0.0022952783312863018,0.006177038487002683,2.6911936573465565,0.12671319237019502,0.025396350832529932,1.0,1.0,2.6911936573465565,1.0,0.3715823264038058,False
0.0,H0,0.0,9,1,8,7,0.0017429749592546946,0.002445382084339555,1.4029932394354154,0.025396350832529932,0.13817150844591128,1.0,1.0,1.4029932394354154,1.0,0.7127618094599046,False
0.0,H0,0.0,9,2,8,7,0.0017429749592546946,0.002445382084339555,1.4029932394354154,0.1712773597674974,0.15181352681030647,1.0,1.0,1.4029932394354154,1.0,0.7127618094599046,False
0.0,H0,0.0,9,3,8,7,0.0017429749592546946,0.002445382084339555,1.4029932394354154,0.02802898486305948,0.2198676965397751,1.0,1.0,1.4029932394354154,1.0,0.7127618094599046,False
0.0,H0,0.0,9,4,8,7,0.0017429749592546946,0.002445382084339555,1.4029932394354154,0.09898217615586608,0.3447276787973151,1.0,1.0,1.4029932394354154,1.0,0.7127618094599046,False
0.0,H0,0.0,9,5,8,7,0.0017429749592546946,0.002445382084339555,1.4029932394354154,0.07217003908143543,0.3245189745730765,1.0,1.0,1.4029932394354154,1.0,0.7127618094599046,False
0.0,H0,0.0,9,6,8,7,0.0017429749592546946,0.002445382084339555,1.4029932394354154,0.3540107070824934,0.3499394055117266,1.0,1.0,1.4029932394354154,1.0,0.7127618094599046,False
