Beta_p,Independent_Baseline_Type,Server_J,Server_K,Distance_km,Rho_phy,Empirical_Latent_Correlation,Theoretical_Latent_Correlation,Empirical_Hazard_Correlation,Theoretical_Hazard_Correlation,Mean_Marginal_Failure_J_Spatial,Mean_Marginal_Failure_K_Spatial,Mean_Joint_Failure_Spatial,Mean_Joint_Failure_Independent,Mean_Joint_Failure_Amplification,Mean_Excess_Joint_Failure,Mean_Relative_Joint_Underestimation,Mean_Binary_Failure_Correlation,Max_Binary_Failure_Correlation,Max_Joint_Failure_Amplification,Max_Absolute_Marginal_Difference
0.5,matched_marginal_product,2,3,1.4783709335735,0.05198802542815817,0.05101761731169511,0.05198802542815817,0.042818905362867435,0.04605867567249951,0.014081156256145566,0.00921402491868268,0.00014594293302105875,0.00014422114879582116,1.0119727262099467,1.7217842252375767e-06,0.011972726209946811,0.0001379526073436105,0.00026278890350752706,1.012109862407484,0.0
0.5,matched_marginal_product,2,4,0.60420632526679,0.29867099860174734,0.29299833241058426,0.29867099860174734,0.2678261775877923,0.2729547372562439,0.014081156256145566,0.00907659044597555,0.00015261663715025625,0.00014207128789708658,1.074480221392149,1.0545349253169682e-05,0.07448022139214905,0.0008514299255939858,0.0016184237760681307,1.07550306107032,0.0
0.5,matched_marginal_product,2,5,1.483904963642815,0.05141579143797567,0.05170135201603366,0.05141579143797567,0.04323484751371233,0.045548441058307895,0.014081156256145566,0.008252495431597697,0.00013073572681547156,0.0001291786884208091,1.0120887917228405,1.557038394662436e-06,0.012088791722840492,0.00013174569974147308,0.00025086343044730723,1.012230832029488,0.0
0.5,matched_marginal_product,2,6,0.8289911193094304,0.19052302251529626,0.19137142217651287,0.19052302251529626,0.1709858731527675,0.17175690488686154,0.014081156256145566,0.016425341527122665,0.0002691482695756621,0.00025697927303690565,1.0475565846894237,1.2168996538756433e-05,0.04755658468942364,0.0007340266885833638,0.001392165562608356,1.0483740620280657,0.0
0.5,matched_marginal_product,2,7,0.9425511542841537,0.15181352681030647,0.15192651599834628,0.15181352681030647,0.13701021774885747,0.1361948890939235,0.014081156256145566,0.0002847138455261326,4.630071258147018e-06,4.458919206981502e-06,1.038462797433889,1.7115205116551603e-07,0.03846279743388887,7.755012240175944e-05,0.00014800426922577975,1.0387767212819587,0.0
0.5,matched_marginal_product,2,8,0.8822355247676016,0.1712773597674974,0.1698816308626508,0.1712773597674974,0.14904554038979845,0.1540330950485802,0.014081156256145566,0.00037578240650654876,6.131910372961176e-06,5.8851153813505585e-06,1.0420209780366985,2.467949916106174e-07,0.04202097803669842,9.734095955019974e-05,0.00018578345095908878,1.04236262830126,0.0
0.5,matched_marginal_product,3,4,0.878706288195088,0.1724905931622923,0.1723698024491774,0.1724905931622923,0.15546533106266222,0.15514787519674503,0.00921402491868268,0.00907659044597555,9.700032218290858e-05,9.299307885314128e-05,1.0432011075810639,4.007243329767299e-06,0.04320110758106386,0.00039859200507209316,0.0007597150431487383,1.043638034950982,0.0
0.5,matched_marginal_product,3,5,0.8574841534545671,0.1799694244100487,0.18288197191683087,0.1799694244100487,0.16589457086991669,0.1620272746933067,0.00921402491868268,0.008252495431597697,8.845476897289547e-05,8.455421422346447e-05,1.0462466798130234,3.900554749431006e-06,0.046246679813023606,0.0004066776520882634,0.00077510525342839,1.046710025932184,0.0
0.5,matched_marginal_product,3,6,1.2822336742801248,0.07696016346817264,0.07610017267271235,0.07696016346817264,0.06791409991728771,0.06839642541622275,0.00921402491868268,0.016425341527122665,0.0001713660968662419,0.00016820608341917132,1.018854382213987,3.160013447070568e-06,0.018854382213987025,0.00023484824486954682,0.0004462535976084674,1.019127231139164,0.0
0.5,matched_marginal_product,3,7,0.7573646464477674,0.2198676965397751,0.2176397948861664,0.2198676965397751,0.19445110205916402,0.19894581941850473,0.00921402491868268,0.0002847138455261326,3.0774645624878467e-06,2.9186011766122713e-06,1.0545031070416684,1.588633858755746e-07,0.05450310704166839,8.868474838673615e-05,0.00016960763589563794,1.0547884371887761,0.0
0.5,matched_marginal_product,3,8,1.78725806527452,0.02802898486305948,0.03011370433827461,0.02802898486305948,0.02569576988215767,0.0247578350293917,0.00921402491868268,0.00037578240650654876,3.879955404924638e-06,3.8521227974950225e-06,1.0072344782518365,2.783260742961596e-08,0.007234478251836497,1.3524803543097969e-05,2.5870424781962275e-05,1.007271080761772,0.0
0.5,matched_marginal_product,4,5,1.0838445765538174,0.11444176899201255,0.11580492741275254,0.11444176899201255,0.10209578212772451,0.10218681335942893,0.00907659044597555,0.008252495431597697,8.565394469920065e-05,8.329379346509378e-05,1.0284024417810536,2.360151234106896e-06,0.028402441781053687,0.00024789148587105186,0.0004727128451423248,1.0286709045228823,0.0
0.5,matched_marginal_product,4,6,0.7963105702239037,0.20339179397623902,0.2027625714227629,0.20339179397623902,0.18205905410864687,0.1836557403028136,0.00907659044597555,0.016425341527122665,0.00017401991751596718,0.00016569868380674952,1.050401139593545,8.321233709217634e-06,0.05040113959354517,0.0006230386221069247,0.0011837946854344474,1.0511335392906085,0.0
