state_id,trial_id,requirement,load_tertile,safe_set_size,effective_set_size,coupling_group,q_spread,q_std_safe,q_predicted_action,actor_predicted_action,horizon,q_spearman,q_kendall,q_top1_hit,q_top3_hit,q_top5_hit,q_regret,q_optimal_set_size,actor_spearman,actor_kendall,actor_top1_hit,actor_top3_hit,actor_top5_hit,actor_regret,random_top1_hit,random_top3_hit,random_top5_hit,actor_probability_spearman
trial_000_ep1_task143,0,0.999,low,7,7,easy,0.0017242431640625,0.000478104135254398,16,27,50,0.6175347814894367,0.4665694748158435,True,True,True,0.0,4,0.5378528742004772,0.4665694748158435,True,True,True,0.0,0.5714285714285714,0.9714285714285714,1.0,1.0
trial_000_ep1_task145,0,0.9,high,28,28,easy,0.00942230224609375,0.002585963811725378,5,27,5,0.15538970960970566,0.145031580287139,True,True,True,0.0,6,0.43569810636457856,0.34079908829549843,False,True,True,6.802974665807085,0.2142857142857143,0.5299145299145298,0.732051282051282,0.9999999999999998
trial_000_ep1_task145,0,0.9,high,28,28,easy,0.00942230224609375,0.002585963811725378,5,27,10,0.15538970960970566,0.145031580287139,True,True,True,0.0,6,0.43569810636457856,0.34079908829549843,False,True,True,6.802974665807142,0.2142857142857143,0.5299145299145298,0.732051282051282,0.9999999999999998
trial_000_ep1_task145,0,0.9,high,28,28,easy,0.00942230224609375,0.002585963811725378,5,27,20,0.15538970960970566,0.145031580287139,True,True,True,0.0,6,0.43569810636457856,0.34079908829549843,False,True,True,6.802974665807028,0.2142857142857143,0.5299145299145298,0.732051282051282,0.9999999999999998
trial_000_ep1_task145,0,0.9,high,28,28,easy,0.00942230224609375,0.002585963811725378,5,27,50,0.15538970960970566,0.145031580287139,True,True,True,0.0,6,0.43569810636457856,0.34079908829549843,False,True,True,6.802974665807028,0.2142857142857143,0.5299145299145298,0.732051282051282,0.9999999999999998
trial_000_ep1_task147,0,0.9,medium,28,28,easy,0.029041290283203125,0.008193294517695904,5,27,5,0.4559320472954235,0.32676160123280207,True,True,True,0.0,7,0.680973644250037,0.533137349379835,True,True,True,0.0,0.25,0.594017094017094,0.7929487179487179,0.9999999999999998
trial_000_ep1_task147,0,0.9,medium,28,28,easy,0.029041290283203125,0.008193294517695904,5,27,10,0.4559320472954235,0.32676160123280207,True,True,True,0.0,7,0.680973644250037,0.533137349379835,True,True,True,0.0,0.25,0.594017094017094,0.7929487179487179,0.9999999999999998
trial_000_ep1_task147,0,0.9,medium,28,28,easy,0.029041290283203125,0.008193294517695904,5,27,20,0.4559320472954235,0.32676160123280207,True,True,True,0.0,7,0.680973644250037,0.533137349379835,True,True,True,0.0,0.25,0.594017094017094,0.7929487179487179,0.9999999999999998
trial_000_ep1_task147,0,0.9,medium,28,28,easy,0.029041290283203125,0.008193294517695904,5,27,50,0.4559320472954235,0.32676160123280207,True,True,True,0.0,7,0.680973644250037,0.533137349379835,True,True,True,0.0,0.25,0.594017094017094,0.7929487179487179,0.9999999999999998
trial_000_ep1_task149,0,0.999,medium,5,5,easy,0.000598907470703125,0.00019802652241196483,16,27,5,-0.5773502691896257,-0.5163977794943223,False,True,True,6.119245516774811,2,0.5773502691896257,0.5163977794943223,True,True,True,0.0,0.4,0.9,1.0,0.9999999999999999
