state_id,episode,task_id,load,requirement,safe_set_bin,safe_set_size,effective_set_size,max_backlog,gae_kind,gae_value,semantics,component,selected_action,selected_advantage,conflict_state
ep001_task138,1,138,medium,0.9,16-28,28,28,1.609807602722027,actor_normalized,0.022295355796813965,event,future,2,5.684341886080802e-14,False
ep001_task138,1,138,medium,0.9,16-28,28,28,1.609807602722027,actor_normalized,0.022295355796813965,event,total,2,-10.973232038650451,False
ep001_task150,1,150,medium,0.9,16-28,28,28,1.670688065975196,raw,192.07688903808594,decision,own,10,10.112009240607222,False
ep001_task150,1,150,medium,0.9,16-28,28,28,1.670688065975196,raw,192.07688903808594,decision,future,10,0.0,False
ep001_task150,1,150,medium,0.9,16-28,28,28,1.670688065975196,raw,192.07688903808594,decision,total,10,10.112009240607222,False
ep001_task150,1,150,medium,0.9,16-28,28,28,1.670688065975196,raw,192.07688903808594,event,own,10,10.473765072232716,False
ep001_task150,1,150,medium,0.9,16-28,28,28,1.670688065975196,raw,192.07688903808594,event,future,10,0.0,False
ep001_task150,1,150,medium,0.9,16-28,28,28,1.670688065975196,raw,192.07688903808594,event,total,10,10.47376507223268,False
ep001_task150,1,150,medium,0.9,16-28,28,28,1.670688065975196,actor_normalized,-0.6753140091896057,decision,own,10,10.112009240607222,False
ep001_task150,1,150,medium,0.9,16-28,28,28,1.670688065975196,actor_normalized,-0.6753140091896057,decision,future,10,0.0,False
ep001_task150,1,150,medium,0.9,16-28,28,28,1.670688065975196,actor_normalized,-0.6753140091896057,decision,total,10,10.112009240607222,False
ep001_task150,1,150,medium,0.9,16-28,28,28,1.670688065975196,actor_normalized,-0.6753140091896057,event,own,10,10.473765072232716,False
ep001_task150,1,150,medium,0.9,16-28,28,28,1.670688065975196,actor_normalized,-0.6753140091896057,event,future,10,0.0,False
ep001_task150,1,150,medium,0.9,16-28,28,28,1.670688065975196,actor_normalized,-0.6753140091896057,event,total,10,10.47376507223268,False
ep001_task163,1,163,low,0.9,16-28,28,28,0.0,raw,185.44906616210938,decision,own,21,1.6818911826304799,False
ep001_task163,1,163,low,0.9,16-28,28,28,0.0,raw,185.44906616210938,decision,future,21,-2.842170943040401e-14,False
ep001_task163,1,163,low,0.9,16-28,28,28,0.0,raw,185.44906616210938,decision,total,21,1.6818911826305225,False
ep001_task163,1,163,low,0.9,16-28,28,28,0.0,raw,185.44906616210938,event,own,21,1.7183989257468255,False
ep001_task163,1,163,low,0.9,16-28,28,28,0.0,raw,185.44906616210938,event,future,21,2.842170943040401e-14,False
ep001_task163,1,163,low,0.9,16-28,28,28,0.0,raw,185.44906616210938,event,total,21,1.7183989257468397,False
ep001_task163,1,163,low,0.9,16-28,28,28,0.0,actor_normalized,-0.7733137011528015,decision,own,21,1.6818911826304799,False
ep001_task163,1,163,low,0.9,16-28,28,28,0.0,actor_normalized,-0.7733137011528015,decision,future,21,-2.842170943040401e-14,False
ep001_task163,1,163,low,0.9,16-28,28,28,0.0,actor_normalized,-0.7733137011528015,decision,total,21,1.6818911826305225,False
ep001_task163,1,163,low,0.9,16-28,28,28,0.0,actor_normalized,-0.7733137011528015,event,own,21,1.7183989257468255,False
ep001_task163,1,163,low,0.9,16-28,28,28,0.0,actor_normalized,-0.7733137011528015,event,future,21,2.842170943040401e-14,False
ep001_task163,1,163,low,0.9,16-28,28,28,0.0,actor_normalized,-0.7733137011528015,event,total,21,1.7183989257468397,False
ep001_task175,1,175,high,0.9,16-28,28,28,2.200486406916468,raw,109.90052032470703,decision,own,10,1.1031054865997731,False
ep001_task175,1,175,high,0.9,16-28,28,28,2.200486406916468,raw,109.90052032470703,decision,future,10,2.842170943040401e-14,False
ep001_task175,1,175,high,0.9,16-28,28,28,2.200486406916468,raw,109.90052032470703,decision,total,10,1.1031054865997305,False
ep001_task175,1,175,high,0.9,16-28,28,28,2.200486406916468,raw,109.90052032470703,event,own,10,1.0313469320192183,False
ep001_task175,1,175,high,0.9,16-28,28,28,2.200486406916468,raw,109.90052032470703,event,future,10,0.0,False
ep001_task175,1,175,high,0.9,16-28,28,28,2.200486406916468,raw,109.90052032470703,event,total,10,1.0313469320192326,False
ep001_task175,1,175,high,0.9,16-28,28,28,2.200486406916468,actor_normalized,-1.8903826475143433,decision,own,10,1.1031054865997731,False
ep001_task175,1,175,high,0.9,16-28,28,28,2.200486406916468,actor_normalized,-1.8903826475143433,decision,future,10,2.842170943040401e-14,False
ep001_task175,1,175,high,0.9,16-28,28,28,2.200486406916468,actor_normalized,-1.8903826475143433,decision,total,10,1.1031054865997305,False
ep001_task175,1,175,high,0.9,16-28,28,28,2.200486406916468,actor_normalized,-1.8903826475143433,event,own,10,1.0313469320192183,False
ep001_task175,1,175,high,0.9,16-28,28,28,2.200486406916468,actor_normalized,-1.8903826475143433,event,future,10,0.0,False
ep001_task175,1,175,high,0.9,16-28,28,28,2.200486406916468,actor_normalized,-1.8903826475143433,event,total,10,1.0313469320192326,False
ep001_task188,1,188,medium,0.99,16-28,28,28,0.4713517357602396,raw,200.2732696533203,decision,own,25,4.593288513696123,False
ep001_task188,1,188,medium,0.99,16-28,28,28,0.4713517357602396,raw,200.2732696533203,decision,future,25,0.0,False
ep001_task188,1,188,medium,0.99,16-28,28,28,0.4713517357602396,raw,200.2732696533203,decision,total,25,4.593288513696109,False
ep001_task188,1,188,medium,0.99,16-28,28,28,0.4713517357602396,raw,200.2732696533203,event,own,25,4.819885979695258,False
ep001_task188,1,188,medium,0.99,16-28,28,28,0.4713517357602396,raw,200.2732696533203,event,future,25,0.0,False
ep001_task188,1,188,medium,0.99,16-28,28,28,0.4713517357602396,raw,200.2732696533203,event,total,25,4.819885979695329,False
ep001_task188,1,188,medium,0.99,16-28,28,28,0.4713517357602396,actor_normalized,-0.5541214346885681,decision,own,25,4.593288513696123,False
ep001_task188,1,188,medium,0.99,16-28,28,28,0.4713517357602396,actor_normalized,-0.5541214346885681,decision,future,25,0.0,False
ep001_task188,1,188,medium,0.99,16-28,28,28,0.4713517357602396,actor_normalized,-0.5541214346885681,decision,total,25,4.593288513696109,False
ep001_task188,1,188,medium,0.99,16-28,28,28,0.4713517357602396,actor_normalized,-0.5541214346885681,event,own,25,4.819885979695258,False
ep001_task188,1,188,medium,0.99,16-28,28,28,0.4713517357602396,actor_normalized,-0.5541214346885681,event,future,25,0.0,False
ep001_task188,1,188,medium,0.99,16-28,28,28,0.4713517357602396,actor_normalized,-0.5541214346885681,event,total,25,4.819885979695329,False
ep001_task200,1,200,medium,0.9999,6-15,6,6,1.180756312155097,raw,-0.15534591674804688,decision,own,19,-2.250582066404121,False
ep001_task200,1,200,medium,0.9999,6-15,6,6,1.180756312155097,raw,-0.15534591674804688,decision,future,19,0.0,False
ep001_task200,1,200,medium,0.9999,6-15,6,6,1.180756312155097,raw,-0.15534591674804688,decision,total,19,-2.250582066404121,False
ep001_task200,1,200,medium,0.9999,6-15,6,6,1.180756312155097,raw,-0.15534591674804688,event,own,19,-2.236330805145265,False
ep001_task200,1,200,medium,0.9999,6-15,6,6,1.180756312155097,raw,-0.15534591674804688,event,future,19,0.0,False
ep001_task200,1,200,medium,0.9999,6-15,6,6,1.180756312155097,raw,-0.15534591674804688,event,total,19,-2.236330805145265,False
ep001_task200,1,200,medium,0.9999,6-15,6,6,1.180756312155097,actor_normalized,-3.5176806449890137,decision,own,19,-2.250582066404121,False
ep001_task200,1,200,medium,0.9999,6-15,6,6,1.180756312155097,actor_normalized,-3.5176806449890137,decision,future,19,0.0,False
ep001_task200,1,200,medium,0.9999,6-15,6,6,1.180756312155097,actor_normalized,-3.5176806449890137,decision,total,19,-2.250582066404121,False
ep001_task200,1,200,medium,0.9999,6-15,6,6,1.180756312155097,actor_normalized,-3.5176806449890137,event,own,19,-2.236330805145265,False
ep001_task200,1,200,medium,0.9999,6-15,6,6,1.180756312155097,actor_normalized,-3.5176806449890137,event,future,19,0.0,False
ep001_task200,1,200,medium,0.9999,6-15,6,6,1.180756312155097,actor_normalized,-3.5176806449890137,event,total,19,-2.236330805145265,False
ep003_task001,3,1,low,0.99,16-28,28,28,0.0,raw,282.43402099609375,decision,own,7,-15.40903153910088,False
ep003_task001,3,1,low,0.99,16-28,28,28,0.0,raw,282.43402099609375,decision,future,7,-5.684341886080802e-14,False
ep003_task001,3,1,low,0.99,16-28,28,28,0.0,raw,282.43402099609375,decision,total,7,-15.409031539101022,False
ep003_task001,3,1,low,0.99,16-28,28,28,0.0,raw,282.43402099609375,event,own,7,-16.179385824011902,False
ep003_task001,3,1,low,0.99,16-28,28,28,0.0,raw,282.43402099609375,event,future,7,-5.684341886080802e-14,False
ep003_task001,3,1,low,0.99,16-28,28,28,0.0,raw,282.43402099609375,event,total,7,-16.179385824011888,False
ep003_task001,3,1,low,0.99,16-28,28,28,0.0,actor_normalized,0.31090494990348816,decision,own,7,-15.40903153910088,False
ep003_task001,3,1,low,0.99,16-28,28,28,0.0,actor_normalized,0.31090494990348816,decision,future,7,-5.684341886080802e-14,False
ep003_task001,3,1,low,0.99,16-28,28,28,0.0,actor_normalized,0.31090494990348816,decision,total,7,-15.409031539101022,False
ep003_task001,3,1,low,0.99,16-28,28,28,0.0,actor_normalized,0.31090494990348816,event,own,7,-16.179385824011902,False
