state_id,method,reference,candidate_count,spearman,pearson,top1_hit,top3_optimal_overlap,top5_optimal_overlap,top3_reference_overlap,top5_reference_overlap,best_action_index,reference_regret,reference_optimal_set_size
ep001_task150,CenteredAdvantage,FutureEvent,28,,,True,1.0,1.0,1.0,1.0,21,0.0,28
ep001_task150,OldQ,FutureEvent,28,,,True,1.0,1.0,1.0,1.0,5,0.0,28
ep001_task150,SafeMin,TotalEvent,28,0.9999999999999998,0.9851178521096184,True,1.0,1.0,1.0,1.0,4,0.0,7
ep001_task150,PPOActor,TotalEvent,28,0.26988280624878763,0.14051532211010745,False,0.6666666666666666,0.6,0.6666666666666666,0.6,27,34.856060596084745,7
ep001_task150,CenteredAdvantage,TotalEvent,28,0.10639342826319595,0.1963528151437224,False,0.0,0.2,0.0,0.2,21,6.8239128345982465,7
ep001_task150,OldQ,TotalEvent,28,-0.28715084957946346,-0.11423525938076355,False,0.0,0.0,0.0,0.0,5,26.363118161430236,7
ep001_task163,SafeMin,OwnEvent,28,0.9999999999999998,0.9960296635167852,True,1.0,1.0,1.0,1.0,5,0.0,7
ep001_task163,PPOActor,OwnEvent,28,0.7578442887543356,0.66440629109049,True,0.6666666666666666,0.6,0.6666666666666666,0.6,27,0.0,7
ep001_task163,CenteredAdvantage,OwnEvent,28,0.9079648590000492,0.9500612803927232,False,0.6666666666666666,0.6,0.6666666666666666,0.6,21,2.5051492402417637,7
ep001_task163,OldQ,OwnEvent,28,0.5556410716886805,0.6019233853886657,True,1.0,0.6,1.0,0.6,5,0.0,7
ep001_task163,SafeMin,FutureEvent,28,,,True,1.0,1.0,1.0,1.0,5,0.0,28
ep001_task163,PPOActor,FutureEvent,28,,,True,1.0,1.0,1.0,1.0,27,0.0,28
ep001_task163,CenteredAdvantage,FutureEvent,28,,,True,1.0,1.0,1.0,1.0,21,0.0,28
ep001_task163,OldQ,FutureEvent,28,,,True,1.0,1.0,1.0,1.0,5,0.0,28
ep001_task163,SafeMin,TotalEvent,28,0.9999999999999998,0.9960296635167858,True,1.0,1.0,1.0,1.0,5,0.0,7
ep001_task163,PPOActor,TotalEvent,28,0.7578442887543356,0.6644062910904895,True,0.6666666666666666,0.6,0.6666666666666666,0.6,27,0.0,7
ep001_task163,CenteredAdvantage,TotalEvent,28,0.9079648590000492,0.9500612803927235,False,0.6666666666666666,0.6,0.6666666666666666,0.6,21,2.5051492402417352,7
ep001_task163,OldQ,TotalEvent,28,0.5556410716886805,0.6019233853886653,True,1.0,0.6,1.0,0.6,5,0.0,7
