state_id,horizon,selected_branch_return_residual
ep057_task063,50,0.0
ep057_task076,5,0.0
ep057_task076,10,0.0
ep057_task076,20,0.0
ep057_task076,50,5.684341886080802e-14
ep057_task088,5,5.684341886080802e-14
ep057_task088,10,0.0
ep057_task088,20,0.0
ep057_task088,50,2.842170943040401e-14
ep057_task100,5,0.0
ep057_task100,10,5.684341886080802e-14
ep057_task100,20,5.684341886080802e-14
ep057_task100,50,0.0
ep057_task113,5,0.0
ep057_task113,10,0.0
ep057_task113,20,0.0
ep057_task113,50,0.0
ep057_task125,5,0.0
ep057_task125,10,0.0
ep057_task125,20,0.0
ep057_task125,50,0.0
ep057_task138,5,0.0
ep057_task138,10,0.0
ep057_task138,20,5.684341886080802e-14
ep057_task138,50,0.0
ep057_task150,5,0.0
ep057_task150,10,0.0
ep057_task150,20,0.0
ep057_task150,50,0.0
ep057_task163,5,0.0
ep057_task163,10,0.0
ep057_task163,20,0.0
ep057_task163,50,0.0
ep057_task175,5,1.4210854715202004e-14
ep057_task175,10,0.0
ep057_task175,20,0.0
ep057_task175,50,0.0
ep057_task188,5,0.0
ep057_task188,10,5.684341886080802e-14
ep057_task188,20,5.684341886080802e-14
ep057_task188,50,5.684341886080802e-14
ep057_task200,5,0.0
ep057_task200,10,0.0
ep057_task200,20,0.0
ep057_task200,50,0.0
ep058_task001,5,0.0
ep058_task001,10,0.0
ep058_task001,20,0.0
ep058_task001,50,0.0
ep058_task013,5,5.684341886080802e-14
ep058_task013,10,0.0
ep058_task013,20,5.684341886080802e-14
ep058_task013,50,0.0
ep058_task026,5,5.684341886080802e-14
ep058_task026,10,0.0
ep058_task026,20,0.0
ep058_task026,50,5.684341886080802e-14
ep058_task038,5,5.684341886080802e-14
ep058_task038,10,0.0
ep058_task038,20,0.0
ep058_task038,50,0.0
ep058_task051,5,0.0
ep058_task051,10,5.684341886080802e-14
ep058_task051,20,0.0
ep058_task051,50,0.0
ep058_task063,5,5.684341886080802e-14
ep058_task063,10,0.0
ep058_task063,20,5.684341886080802e-14
ep058_task063,50,0.0
ep058_task076,5,5.684341886080802e-14
ep058_task076,10,5.684341886080802e-14
ep058_task076,20,0.0
ep058_task076,50,5.684341886080802e-14
ep058_task088,5,0.0
ep058_task088,10,0.0
ep058_task088,20,0.0
ep058_task088,50,0.0
ep058_task100,5,0.0
ep058_task100,10,5.684341886080802e-14
ep058_task100,20,0.0
ep058_task100,50,0.0
ep058_task113,5,0.0
ep058_task113,10,0.0
ep058_task113,20,5.684341886080802e-14
ep058_task113,50,0.0
ep058_task125,5,0.0
ep058_task125,10,0.0
ep058_task125,20,5.684341886080802e-14
ep058_task125,50,0.0
ep058_task138,5,0.0
ep058_task138,10,0.0
ep058_task138,20,0.0
ep058_task138,50,0.0
ep058_task150,5,0.0
ep058_task150,10,0.0
ep058_task150,20,0.0
ep058_task150,50,5.684341886080802e-14
ep058_task163,5,0.0
ep058_task163,10,2.842170943040401e-14
ep058_task163,20,0.0
ep058_task163,50,0.0
ep058_task175,5,0.0
ep058_task175,10,0.0
ep058_task175,20,5.684341886080802e-14
ep058_task175,50,0.0
ep058_task188,5,0.0
ep058_task188,10,0.0
ep058_task188,20,5.684341886080802e-14
ep058_task188,50,5.684341886080802e-14
ep058_task200,5,0.0
ep058_task200,10,0.0
ep058_task200,20,0.0
ep058_task200,50,0.0
ep060_task001,5,0.0
ep060_task001,10,5.684341886080802e-14
ep060_task001,20,5.684341886080802e-14
ep060_task001,50,0.0
ep060_task013,5,0.0
ep060_task013,10,0.0
ep060_task013,20,5.684341886080802e-14
ep060_task013,50,0.0
ep060_task026,5,0.0
ep060_task026,10,0.0
ep060_task026,20,0.0
ep060_task026,50,0.0
ep060_task038,5,0.0
ep060_task038,10,0.0
ep060_task038,20,5.684341886080802e-14
ep060_task038,50,5.684341886080802e-14
ep060_task051,5,0.0
ep060_task051,10,0.0
ep060_task051,20,0.0
ep060_task051,50,0.0
ep060_task063,5,0.0
ep060_task063,10,0.0
ep060_task063,20,0.0
ep060_task063,50,0.0
ep060_task076,5,0.0
ep060_task076,10,5.684341886080802e-14
ep060_task076,20,0.0
ep060_task076,50,0.0
ep060_task088,5,0.0
ep060_task088,10,0.0
ep060_task088,20,0.0
ep060_task088,50,0.0
ep060_task100,5,2.842170943040401e-14
ep060_task100,10,5.684341886080802e-14
ep060_task100,20,5.684341886080802e-14
ep060_task100,50,0.0
ep060_task113,5,0.0
ep060_task113,10,0.0
ep060_task113,20,0.0
ep060_task113,50,0.0
ep060_task125,5,0.0
ep060_task125,10,0.0
ep060_task125,20,5.684341886080802e-14
ep060_task125,50,0.0
ep060_task138,5,0.0
ep060_task138,10,0.0
ep060_task138,20,0.0
ep060_task138,50,0.0
ep060_task150,5,2.842170943040401e-14
ep060_task150,10,5.684341886080802e-14
ep060_task150,20,0.0
ep060_task150,50,0.0
ep060_task163,5,0.0
ep060_task163,10,5.684341886080802e-14
ep060_task163,20,0.0
ep060_task163,50,0.0
ep060_task175,5,0.0
ep060_task175,10,0.0
ep060_task175,20,0.0
ep060_task175,50,0.0
ep060_task188,5,0.0
ep060_task188,10,5.684341886080802e-14
ep060_task188,20,0.0
ep060_task188,50,0.0
ep060_task200,5,0.0
ep060_task200,10,0.0
ep060_task200,20,0.0
ep060_task200,50,0.0
ep063_task001,5,0.0
ep063_task001,10,5.684341886080802e-14
ep063_task001,20,5.684341886080802e-14
ep063_task001,50,0.0
ep063_task013,5,5.684341886080802e-14
ep063_task013,10,0.0
ep063_task013,20,0.0
ep063_task013,50,0.0
ep063_task026,5,0.0
ep063_task026,10,0.0
ep063_task026,20,0.0
ep063_task026,50,0.0
