arm,unit,gradient_updates,split,mae,rmse,pearson,spearman,r2,explained_variance,calibration_slope,calibration_intercept,prediction_mean,prediction_std,target_mean,target_std
V1,100,800,train,320.6758591342561,338.6486257268638,-0.25058755614954364,-0.23562290401334648,-8.638929377591847,-8.03370342916665e-06,-15633.171478981883,264765.0907086343,16.91451895660824,0.0017484262873560254,337.5153754878892,109.07743540259646
V1,100,800,validation,333.36737483002867,350.78451706036066,-0.2404619355032228,-0.2308897197830217,-9.307049262434623,-7.733567821688325e-06,-14953.997193760246,253290.19428900094,16.914537490844726,0.001756961657820518,350.2481171564442,109.26303011580089
V1,100,800,test,325.1310215445285,342.917695529101,-0.22332644797610193,-0.2102085678651941,-8.88369754049573,-7.173720495412539e-06,-13905.33566612861,235544.29914573027,16.914534308274586,0.0017518174768839032,342.0219529236573,109.07624360043513
V1,110,880,train,319.3430111131197,337.38298605706404,-0.25001721473680066,-0.23519620484978554,-8.567016404128879,-6.867059252346763e-06,-18205.849720322993,332624.7614663766,18.251674664762284,0.0014979381357601719,337.5153754878892,109.07743540259646
V1,110,880,validation,332.03200421867894,349.51411408774663,-0.23996471148233325,-0.2304933099734043,-9.232528326953945,-6.611866106842612e-06,-17418.597032858008,318269.0914523941,18.251690577348075,0.001505245884497141,350.2481171564442,109.26303011580089
V1,110,880,test,323.7949821097776,341.6502370058867,-0.22283337232566672,-0.20984349094024757,-8.810770269638102,-6.132314943396722e-06,-16194.942795277751,295927.0620423316,18.251687815507253,0.0015008282220785722,342.0219529236573,109.07624360043513
V1,120,960,train,318.01268778142367,336.12017888359253,-0.24952921938210793,-0.23485952864990653,-8.495532733609075,-5.94569782719212e-06,-20944.999065617758,410575.1871732215,19.586425882021587,0.0012994990939336913,337.5153754878892,109.07743540259646
V1,120,960,validation,330.69940140107633,348.24649755407233,-0.23952685093207532,-0.23018642290120825,-9.158440328101545,-5.725559347524722e-06,-20041.550592859105,392892.8698074734,19.586439675490062,0.0013058585165690371,350.2481171564442,109.26303011580089
V1,120,960,test,322.4615305989135,340.3855929167813,-0.22240901530188556,-0.20956735496653822,-8.738274083061079,-5.309732902025743e-06,-18632.612374247587,365288.5148406772,19.58643724012375,0.001301993485654799,342.0219529236573,109.07624360043513
V1,130,1040,train,316.6846976561411,334.8597743256738,-0.24906682782696607,-0.23448788994805822,-8.424452364682269,-5.206172299487832e-06,-23831.55326876762,498875.2494056076,20.91922957801819,0.0011399832195927357,337.5153754878892,109.07743540259646
V1,130,1040,validation,329.3694020137684,346.9812355530225,-0.23912597969153127,-0.2298603010155179,-9.084758384593947,-5.014342690179419e-06,-22807.570702951725,477467.3321335949,20.919241695245105,0.0011455682615564514,350.2481171564442,109.26303011580089
V1,130,1040,test,321.1302023889221,339.1233326638513,-0.22199360201651175,-0.2092629208483598,-8.666182638760086,-4.649164406345108e-06,-21200.507142235176,443840.50980242866,20.919239566961924,0.0011421532536385424,342.0219529236573,109.07624360043513
V1,140,1120,train,315.35841983283865,333.60143873670273,-0.24870584239560026,-0.23419348136590623,-8.353755060167392,-4.595365036941246e-06,-26920.927659789966,599340.0526811897,22.25044191922082,0.0010076991328450428,337.5153754878892,109.07743540259646
V1,140,1120,validation,328.0410750087,345.7179927892462,-0.23877934877442164,-0.22962171644907367,-9.011461579911025,-4.42607792194849e-06,-25763.97655121145,573610.387419542,22.250452610174815,0.0010126447337937897,350.2481171564442,109.26303011580089
V1,140,1120,test,319.80073218519937,337.86312222128913,-0.22168031092554816,-0.20905189937820617,-8.594475448258931,-4.103919224895947e-06,-23949.392529635898,533226.8005575516,22.250450734615328,0.0010096312700213171,342.0219529236573,109.07624360043513
V1,150,1200,train,314.03379668788983,332.3449375520313,-0.24832123176634932,-0.23388302760234023,-8.283426402920758,-4.084578510088477e-06,-30193.791169140146,712316.631754512,23.58031531683604,0.0008970798984915478,337.5153754878892,109.07743540259646
V1,150,1200,validation,326.71408382971055,344.45653317157974,-0.23843826359742348,-0.22932959287826765,-8.93853500829328,-3.934568628904955e-06,-28899.630193160505,681812.9164866084,23.580324862798054,0.0009014816799410206,350.2481171564442,109.26303011580089
V1,150,1200,test,318.47298146758226,336.60472646259757,-0.22131174336288298,-0.2087732258210135,-8.523137904561466,-3.647245477855776e-06,-26858.51546975344,633674.4963748659,23.580323161760965,0.000898778402621386,342.0219529236573,109.07624360043513
V1,160,1280,train,312.71067696059333,331.09007155034794,-0.24801084297717643,-0.23365383006265594,-8.213454142866,-3.6562080973912003e-06,-33647.041215160636,838453.8678188932,24.90906546831131,0.0008040049207000497,337.5153754878892,109.07743540259646
V1,160,1280,validation,325.3882133663393,343.1966561485142,-0.23816534498587902,-0.22914030436572058,-8.865966008636027,-3.5223016623397996e-06,-32208.26467903399,802628.2969730024,24.909074017206827,0.0008079499942346046,350.2481171564442,109.26303011580089
V1,160,1280,test,317.1468894202088,335.3479457609762,-0.22107169290976073,-0.20859005023654487,-8.452157602634436,-3.265294342691405e-06,-29935.132696084045,745998.4112418799,24.90907245540619,0.0008055307478940946,342.0219529236573,109.07624360043513
V1,170,1360,train,311.3889252666902,329.83669283313895,-0.24772357696971783,-0.2334171932734166,-8.143829045056675,-3.2850291080688265e-06,-37362.09927882738,980601.4592573559,26.23685399919086,0.0007232209374254043,337.5153754878892,109.07743540259646
V1,170,1360,validation,324.0635613211729,341.9382125603243,-0.23793945027305452,-0.22894790348896932,-8.79374503443419,-3.1654349559318007e-06,-35771.37052552737,938878.7490758061,26.23686169052124,0.0007267819191431053,350.2481171564442,109.26303011580089
V1,170,1360,test,315.82175693450125,334.092631686645,-0.22081292705342975,-0.2083691887002999,-8.381525182859335,-2.933713481034772e-06,-33240.52092384246,872468.9256380334,26.236860297203062,0.000724580841455143,342.0219529236573,109.07624360043513
V1,180,1440,train,310.06831216019253,328.584686048113,-0.247425064865801,-0.2332131366692324,-8.074543798044035,-2.9705884163622187e-06,-41217.3595130465,1136444.9352042486,27.563808872063955,0.0006547845822423445,337.5153754878892,109.07743540259646
V1,180,1440,validation,322.73992434079827,340.68108584345254,-0.23767912343723033,-0.2287752956165683,-8.721864526440283,-2.8626692438749046e-06,-39468.116335115825,1088242.1377436642,27.56381582514445,0.0006579878553492932,350.2481171564442,109.26303011580089
