lens,horizon,requirement,value_source,advantage_type,n,nonzero_reference_count,pearson,spearman,sign_agreement,normalized_mae,quartile_agreement,sign_agreement_including_zeros
production_smdp,5,0.999,V2,normalized,220,220,0.17205240493313034,0.18755458884387166,0.5636363636363636,1.0196103296624508,0.2863636363636364,0.5636363636363636
production_smdp,5,0.999,V3,raw,220,220,0.12413436614053992,0.1218169421231468,0.5409090909090909,1.0521197397265194,0.2590909090909091,0.5409090909090909
production_smdp,5,0.999,V3,normalized,220,220,0.15142787074965666,0.15299639924942102,0.5363636363636364,1.0332562441514765,0.2590909090909091,0.5363636363636364
production_smdp,5,0.9999,V0,raw,260,235,0.10206715891675545,0.1575971287260426,0.6297872340425532,1.0677993981558447,0.2153846153846154,0.5692307692307692
production_smdp,5,0.9999,V0,normalized,260,235,0.10081846892456948,0.1550928375785009,0.502127659574468,1.0625698571084308,0.21153846153846154,0.45384615384615384
production_smdp,5,0.9999,V1,raw,260,235,0.10202586775884842,0.15755502488622772,0.6297872340425532,1.0678273123817825,0.2153846153846154,0.5692307692307692
production_smdp,5,0.9999,V1,normalized,260,235,0.10077741996355342,0.15522227799038843,0.502127659574468,1.0625918402663406,0.21153846153846154,0.45384615384615384
production_smdp,5,0.9999,V2,raw,260,235,0.10202584502107738,0.15754580265291368,0.6297872340425532,1.0678273178703062,0.2153846153846154,0.5692307692307692
production_smdp,5,0.9999,V2,normalized,260,235,0.10077738568678937,0.15522227799038843,0.502127659574468,1.0625918528590128,0.21153846153846154,0.45384615384615384
production_smdp,5,0.9999,V3,raw,260,235,0.11441227815779101,0.1653641788866315,0.46382978723404256,1.071262848462616,0.21923076923076923,0.41923076923076924
production_smdp,5,0.9999,V3,normalized,260,235,0.11139945306404074,0.1631338535612985,0.4425531914893617,1.0650097850714557,0.2076923076923077,0.4
production_smdp,10,0.9,V0,raw,300,300,0.2198637879834116,0.24077931740478478,0.59,0.9731681411622769,0.3566666666666667,0.59
production_smdp,10,0.9,V0,normalized,300,300,0.21301609128701102,0.24556316109331483,0.5866666666666667,0.9817637378046933,0.35333333333333333,0.5866666666666667
production_smdp,10,0.9,V1,raw,300,300,0.21981338402914663,0.24055153648869135,0.59,0.9731971728885704,0.3566666666666667,0.59
production_smdp,10,0.9,V1,normalized,300,300,0.21296041913618424,0.24559271705608599,0.5866666666666667,0.9817882313979827,0.35333333333333333,0.5866666666666667
production_smdp,10,0.9,V2,raw,300,300,0.21981336565774937,0.24055153648869135,0.59,0.9731971959901823,0.3566666666666667,0.59
production_smdp,10,0.9,V2,normalized,300,300,0.212960403896304,0.24559271705608599,0.5866666666666667,0.9817882563853627,0.35333333333333333,0.5866666666666667
production_smdp,10,0.9,V3,raw,300,300,0.21021173804145768,0.2151896315023547,0.5666666666666667,0.9681471899753431,0.32666666666666666,0.5666666666666667
production_smdp,10,0.9,V3,normalized,300,300,0.20282845528896215,0.2178523348551659,0.57,0.9815549732150359,0.31666666666666665,0.57
production_smdp,10,0.99,V0,raw,220,220,0.04984206527436511,-0.011533045234076784,0.5545454545454546,1.1036126801262425,0.24545454545454545,0.5545454545454546
production_smdp,10,0.99,V0,normalized,220,220,0.04374791693006139,-0.0211782911163429,0.45,1.1140626383041594,0.2318181818181818,0.45
production_smdp,10,0.99,V1,raw,220,220,0.04985190149892871,-0.011505996168737407,0.5545454545454546,1.1035967736527135,0.24545454545454545,0.5545454545454546
production_smdp,10,0.99,V1,normalized,220,220,0.04376095756469982,-0.02132875154229318,0.45,1.1140502402233226,0.2318181818181818,0.45
production_smdp,10,0.99,V2,raw,220,220,0.049851919591895374,-0.011505996168737407,0.5545454545454546,1.1035967630803947,0.24545454545454545,0.5545454545454546
