lens,horizon,safe_set_bin,value_source,advantage_type,n,nonzero_reference_count,pearson,spearman,sign_agreement,normalized_mae,quartile_agreement,sign_agreement_including_zeros
legacy_interval_step,20,16-28,V0,normalized,840,840,0.15613816327616328,0.14057227421621404,0.5392857142857143,1.0269690134531584,0.29285714285714287,0.5392857142857143
legacy_interval_step,20,16-28,V1,raw,840,840,0.15704251420713702,0.14278942932313957,0.5892857142857143,1.0225205561679063,0.29285714285714287,0.5892857142857143
legacy_interval_step,20,16-28,V1,normalized,840,840,0.1561066146653173,0.14062712126769963,0.5392857142857143,1.0269833653679197,0.29285714285714287,0.5392857142857143
legacy_interval_step,20,16-28,V2,raw,840,840,0.15704250709847634,0.14278942932313957,0.5892857142857143,1.022520557867885,0.29285714285714287,0.5892857142857143
legacy_interval_step,20,16-28,V2,normalized,840,840,0.15610659818030606,0.14062712126769963,0.5392857142857143,1.0269833687679173,0.29285714285714287,0.5392857142857143
legacy_interval_step,20,16-28,V3,raw,840,840,0.15749299910768833,0.13337878680653142,0.525,1.019868577496758,0.29285714285714287,0.525
legacy_interval_step,20,16-28,V3,normalized,840,840,0.15739128636690186,0.13378879331802448,0.525,1.0225148524125958,0.28809523809523807,0.525
legacy_interval_step,20,6-15,V0,raw,98,98,0.007357623260874068,0.020178900458773883,0.5918367346938775,1.1732349425623845,0.15306122448979592,0.5918367346938775
legacy_interval_step,20,6-15,V0,normalized,98,98,0.030491526902040704,0.04860088365243004,0.46938775510204084,1.1319753600390294,0.1836734693877551,0.46938775510204084
legacy_interval_step,20,6-15,V1,raw,98,98,0.007333993619577337,0.020178900458773883,0.5918367346938775,1.1732359727135975,0.15306122448979592,0.5918367346938775
legacy_interval_step,20,6-15,V1,normalized,98,98,0.030468670380775536,0.04860088365243004,0.46938775510204084,1.1319847878151335,0.1836734693877551,0.46938775510204084
legacy_interval_step,20,6-15,V2,raw,98,98,0.007334009756112379,0.020178900458773883,0.5918367346938775,1.1732359727821098,0.15306122448979592,0.5918367346938775
legacy_interval_step,20,6-15,V2,normalized,98,98,0.03046867806169759,0.04860088365243004,0.46938775510204084,1.1319848017872716,0.1836734693877551,0.46938775510204084
legacy_interval_step,20,6-15,V3,raw,98,98,0.029073464228430632,0.034893877475788135,0.46938775510204084,1.1525530829541044,0.23469387755102042,0.46938775510204084
legacy_interval_step,20,6-15,V3,normalized,98,98,0.057537776662601736,0.06970398281149386,0.46938775510204084,1.1200417930699058,0.21428571428571427,0.46938775510204084
legacy_interval_step,20,empty,V0,raw,7,0,,,,0.8954557937935915,0.2857142857142857,0.0
legacy_interval_step,20,empty,V0,normalized,7,0,,,,0.8765894378013671,0.2857142857142857,0.0
legacy_interval_step,20,empty,V1,raw,7,0,,,,0.8954465799624343,0.2857142857142857,0.0
legacy_interval_step,20,empty,V1,normalized,7,0,,,,0.8765998740099763,0.2857142857142857,0.0
legacy_interval_step,20,empty,V2,raw,7,0,,,,0.895446583276606,0.2857142857142857,0.0
legacy_interval_step,20,empty,V2,normalized,7,0,,,,0.8765998934670481,0.2857142857142857,0.0
legacy_interval_step,20,empty,V3,raw,7,0,,,,0.8803900033121107,0.2857142857142857,0.0
legacy_interval_step,20,empty,V3,normalized,7,0,,,,0.8678759453982253,0.2857142857142857,0.0
legacy_interval_step,50,1-5,V0,raw,55,37,0.10921206858131936,0.1417304045905899,0.7297297297297297,0.964400871625189,0.43636363636363634,0.4909090909090909
legacy_interval_step,50,1-5,V0,normalized,55,37,0.05328401054044767,0.10675657777004896,0.32432432432432434,0.9720140281521594,0.2545454545454545,0.21818181818181817
legacy_interval_step,50,1-5,V1,raw,55,37,0.10917965435287892,0.14157378946648702,0.7297297297297297,0.964410285434109,0.45454545454545453,0.4909090909090909
legacy_interval_step,50,1-5,V1,normalized,55,37,0.05326762280602621,0.10451641566341911,0.32432432432432434,0.972014607741441,0.2545454545454545,0.21818181818181817
legacy_interval_step,50,1-5,V2,raw,55,37,0.10917966555988114,0.14085392274038624,0.7297297297297297,0.9644102830561252,0.45454545454545453,0.4909090909090909
legacy_interval_step,50,1-5,V2,normalized,55,37,0.053267703069396426,0.10451641566341911,0.32432432432432434,0.9720145853261107,0.2545454545454545,0.21818181818181817
legacy_interval_step,50,1-5,V3,raw,55,37,0.1527390378807902,0.3860261104111636,0.3783783783783784,0.9500742486926811,0.41818181818181815,0.2545454545454545
legacy_interval_step,50,1-5,V3,normalized,55,37,0.1052440163891547,0.28350904038004066,0.32432432432432434,0.9601748184029256,0.2727272727272727,0.21818181818181817
legacy_interval_step,50,16-28,V0,raw,840,840,0.15714600575565577,0.14304278564381173,0.5892857142857143,1.02249339479044,0.29285714285714287,0.5892857142857143
legacy_interval_step,50,16-28,V0,normalized,840,840,0.15618578136169364,0.1407506993011726,0.5392857142857143,1.0269590217377815,0.29285714285714287,0.5392857142857143
legacy_interval_step,50,16-28,V1,raw,840,840,0.15711330066145315,0.14297275391831643,0.5892857142857143,1.0225094356347177,0.29285714285714287,0.5892857142857143
legacy_interval_step,50,16-28,V1,normalized,840,840,0.15615416482282707,0.1408055261044803,0.5392857142857143,1.026973373652543,0.29285714285714287,0.5392857142857143
