arm,unit,active_loss,huber_is_hypothetical,hypothetical_huber_saturation_fraction,residual_mean,residual_std,absolute_residual_p50,absolute_residual_p90,absolute_residual_p95,absolute_residual_p99,raw_unit_saturation
SmallMLP,90,MSE,True,0.2927222222222222,0.12472550375304281,0.9467497152440526,0.641114974833702,1.5671696768978127,1.879752022473514,2.5009157475951125,0.9928055555555556
SmallMLP,100,MSE,True,0.2848888888888889,0.000616579895011209,0.9501327414055507,0.6230552441280586,1.5680609669344776,1.882057256934862,2.508003267053054,0.9919722222222223
SmallMLP,110,MSE,True,0.28933333333333333,0.09890928123166987,0.9463201151532548,0.6368335061630248,1.5627613384328958,1.8732227596793114,2.5064628752956297,0.9918888888888889
SmallMLP,120,MSE,True,0.2836111111111111,-0.08797230374647515,0.9464753216135516,0.620382501441906,1.566643396031667,1.896043341756827,2.511074299413324,0.9923055555555556
SmallMLP,130,MSE,True,0.28833333333333333,0.07879464124267295,0.945256801602174,0.6333385863446663,1.5591372085378814,1.868403960258917,2.4593482760949885,0.9920833333333333
SmallMLP,140,MSE,True,0.28494444444444444,0.007880929731556892,0.9445766490295426,0.6234529282379329,1.55146070351271,1.8685024785423552,2.4765561231594178,0.9923611111111111
SmallMLP,150,MSE,True,0.28447222222222224,-0.1295960254979631,0.9449325515806297,0.6212472523590886,1.5732323807296007,1.915053198999863,2.5170167491224764,0.9923888888888889
SmallMLP,160,MSE,True,0.28247222222222224,-0.02921822473406796,0.9443613275099312,0.6215826768617575,1.551302523958832,1.8757747440177936,2.487136282463468,0.9915555555555555
SmallMLP,170,MSE,True,0.2827222222222222,-0.056287765853727904,0.9458688748859804,0.6207863414359253,1.5619646883552478,1.8864022482446858,2.505436645321498,0.9921111111111112
SmallMLP,180,MSE,True,0.28258333333333335,-0.06555440793134691,0.9439365889774961,0.6195349117444097,1.5576061668203154,1.8855470600888302,2.502298863818507,0.9919166666666667
SmallMLP,190,MSE,True,0.3041388888888889,0.23420669963417776,0.9462820999595707,0.6571898685839174,1.5957744306532509,1.8984402666718874,2.5685000676281144,0.9926944444444444
SmallMLP,200,MSE,True,0.2971666666666667,0.17886902011734326,0.9457433428435991,0.6472505926208739,1.5776713512009093,1.883696629994187,2.5474346520605313,0.9918888888888889
SmallMLP,210,MSE,True,0.28225,-0.035674286045961956,0.9512189282856258,0.618526519611231,1.5671127282974733,1.8913859510836681,2.526086025832195,0.9920277777777777
SmallMLP,220,MSE,True,0.3104166666666667,0.2706032010903581,0.9443419097780764,0.6660529638284216,1.6072614293131673,1.9095479969364881,2.5615440622787,0.9923888888888889
SmallMLP,230,MSE,True,0.2876666666666667,0.095722555559025,0.9430879327961011,0.6335853760185317,1.554805629727803,1.8624182726490945,2.5113181073013737,0.9925833333333334
SmallMLP,240,MSE,True,0.2857222222222222,0.07787678262456832,0.9450413707668002,0.6310128968828583,1.5565539780063067,1.868570807441786,2.52912751178946,0.9923055555555556
SmallMLP,250,MSE,True,0.2961666666666667,0.17217308413982388,0.9477214787328008,0.6468340670060557,1.5809512196482123,1.8861435845047592,2.568120929815168,0.9920555555555556
SmallMLP,260,MSE,True,0.2836388888888889,-0.05400503207898393,0.9435958814926182,0.6224988638580076,1.5560605532839393,1.8821196239326279,2.4844110008215896,0.9923333333333333
SmallMLP,270,MSE,True,0.2886666666666667,0.08377705718566555,0.9420562487120441,0.6337519302117789,1.555763827366272,1.8683423018763985,2.4465072389517237,0.9923333333333333
SmallMLP,280,MSE,True,0.2851666666666667,0.052590344209327414,0.9426899857099943,0.6277693116806953,1.5533562698904186,1.8660605399710588,2.483000247233676,0.9919166666666667
SmallMLP,290,MSE,True,0.28544444444444445,0.055392023818774304,0.941323272274726,0.6285656207685046,1.549441645766903,1.8616265166952508,2.4562887583057456,0.9920833333333333
SmallMLP,300,MSE,True,0.28275,-0.0906762364737483,0.9427293758535927,0.6185118590935808,1.5581318999904905,1.8931731457724505,2.487989623370365,0.9912777777777778
