episode,task_id,state_id,split,dataset_index,max_backlog,load,requirement,safe_set_bin,safe_set_size,effective_set_size
60,100,ep060_task100,test,11899,2.603517242194146,high,0.9999,6-15,15,15
60,113,ep060_task113,test,11912,0.0,low,0.99,16-28,26,26
60,125,ep060_task125,test,11924,1.8043385645898637,high,0.999,16-28,19,19
60,138,ep060_task138,test,11937,0.0,low,0.9,16-28,28,28
60,150,ep060_task150,test,11949,0.0,low,0.9,16-28,28,28
60,163,ep060_task163,test,11962,0.25975792353003724,medium,0.9,16-28,28,28
60,175,ep060_task175,test,11974,1.8093694859666822,high,0.9,16-28,28,28
60,188,ep060_task188,test,11987,0.0,low,0.99,16-28,28,28
60,200,ep060_task200,test,11999,1.0750217027370406,medium,0.9999,1-5,5,5
63,1,ep063_task001,test,12400,0.0,low,0.99,16-28,28,28
63,13,ep063_task013,test,12412,1.8094800466156338,high,0.999,16-28,27,27
63,26,ep063_task026,test,12425,2.536466808986682,high,0.9999,16-28,18,18
63,38,ep063_task038,test,12437,0.041556838708872446,low,0.99,16-28,28,28
63,51,ep063_task051,test,12450,0.0,low,0.999,16-28,25,25
63,63,ep063_task063,test,12462,2.353416406267562,high,0.999,16-28,27,27
63,76,ep063_task076,test,12475,0.0,low,0.9999,16-28,18,18
63,88,ep063_task088,test,12487,0.0,low,0.9999,16-28,25,25
63,100,ep063_task100,test,12499,4.194313504978411,high,0.9999,16-28,18,18
63,113,ep063_task113,test,12512,4.353629573190708,high,0.99,16-28,27,27
63,125,ep063_task125,test,12524,3.2406655951881254,high,0.999,16-28,22,22
63,138,ep063_task138,test,12537,1.6668253274296614,medium,0.9,16-28,28,28
63,150,ep063_task150,test,12549,1.260432195505829,medium,0.9,16-28,28,28
63,163,ep063_task163,test,12562,0.9370224405790539,medium,0.9,16-28,28,28
63,175,ep063_task175,test,12574,0.0,low,0.9,16-28,28,28
63,188,ep063_task188,test,12587,0.0,low,0.99,16-28,28,28
63,200,ep063_task200,test,12599,1.795718713848487,high,0.9999,6-15,8,8
64,1,ep064_task001,test,12600,0.0,low,0.99,16-28,28,28
64,13,ep064_task013,test,12612,0.3951875031637697,medium,0.999,16-28,24,24
64,26,ep064_task026,test,12625,0.22865054599216617,medium,0.9999,16-28,19,19
64,38,ep064_task038,test,12637,0.20190048966162655,medium,0.99,16-28,28,28
64,51,ep064_task051,test,12650,0.0,low,0.999,16-28,23,23
64,63,ep064_task063,test,12662,1.7033942242138322,high,0.999,16-28,26,26
64,76,ep064_task076,test,12675,0.0,low,0.9999,16-28,20,20
64,88,ep064_task088,test,12687,1.1905600630830122,medium,0.9999,16-28,23,23
64,100,ep064_task100,test,12699,0.3899095662708305,medium,0.9999,16-28,21,21
64,113,ep064_task113,test,12712,2.8078900735433385,high,0.99,16-28,24,24
64,125,ep064_task125,test,12724,1.4236148450685793,medium,0.999,16-28,21,21
64,138,ep064_task138,test,12737,2.2669687535499645,high,0.9,16-28,28,28
64,150,ep064_task150,test,12749,0.0,low,0.9,16-28,28,28
64,163,ep064_task163,test,12762,1.3608869664277305,medium,0.9,16-28,28,28
64,175,ep064_task175,test,12774,0.9394372607730097,medium,0.9,16-28,28,28
64,188,ep064_task188,test,12787,0.46847929379949915,medium,0.99,16-28,28,28
64,200,ep064_task200,test,12799,0.4434819674668171,medium,0.9999,6-15,10,10
66,1,ep066_task001,test,13000,0.0,low,0.99,16-28,28,28
66,13,ep066_task013,test,13012,0.0,low,0.999,16-28,24,24
66,26,ep066_task026,test,13025,0.0,low,0.9999,6-15,11,11
66,38,ep066_task038,test,13037,0.0,low,0.99,16-28,28,28
66,51,ep066_task051,test,13050,0.0,low,0.999,16-28,17,17
66,63,ep066_task063,test,13062,0.6926350746076282,medium,0.999,16-28,26,26
66,76,ep066_task076,test,13075,0.05204271732018806,medium,0.9999,6-15,12,12
66,88,ep066_task088,test,13087,2.980562893577617,high,0.9999,16-28,20,20
66,100,ep066_task100,test,13099,3.4205376786730946,high,0.9999,6-15,12,12
66,113,ep066_task113,test,13112,5.133846977940668,high,0.99,16-28,23,23
66,125,ep066_task125,test,13124,1.4819846769251286,medium,0.999,16-28,16,16
66,138,ep066_task138,test,13137,2.500045132778301,high,0.9,16-28,28,28
66,150,ep066_task150,test,13149,1.0378955528085334,medium,0.9,16-28,28,28
66,163,ep066_task163,test,13162,0.0,low,0.9,16-28,28,28
66,175,ep066_task175,test,13174,1.5004121074649799,medium,0.9,16-28,28,28
66,188,ep066_task188,test,13187,0.0,low,0.99,16-28,28,28
66,200,ep066_task200,test,13199,0.0,low,0.9999,1-5,2,2
68,1,ep068_task001,test,13400,0.0,low,0.99,16-28,28,28
68,13,ep068_task013,test,13412,1.708947996917364,high,0.999,16-28,28,28
68,26,ep068_task026,test,13425,3.7779621143206596,high,0.9999,16-28,16,16
68,38,ep068_task038,test,13437,0.7253921749641732,medium,0.99,16-28,28,28
68,51,ep068_task051,test,13450,0.0,low,0.999,16-28,25,25
68,63,ep068_task063,test,13462,0.0,low,0.999,16-28,28,28
68,76,ep068_task076,test,13475,0.0,low,0.9999,16-28,19,19
68,88,ep068_task088,test,13487,0.0,low,0.9999,16-28,26,26
68,100,ep068_task100,test,13499,0.0,low,0.9999,16-28,19,19
68,113,ep068_task113,test,13512,2.4610298181668155,high,0.99,16-28,28,28
68,125,ep068_task125,test,13524,0.591065573498019,medium,0.999,16-28,22,22
68,138,ep068_task138,test,13537,1.2888182865013014,medium,0.9,16-28,28,28
68,150,ep068_task150,test,13549,0.0,low,0.9,16-28,28,28
68,163,ep068_task163,test,13562,0.0,low,0.9,16-28,28,28
68,175,ep068_task175,test,13574,0.0,low,0.9,16-28,28,28
68,188,ep068_task188,test,13587,0.3213154676275849,medium,0.99,16-28,28,28
68,200,ep068_task200,test,13599,1.1665843352427763,medium,0.9999,1-5,3,3
69,1,ep069_task001,test,13600,0.0,low,0.99,16-28,28,28
69,13,ep069_task013,test,13612,1.7147261089398618,high,0.999,16-28,22,22
69,26,ep069_task026,test,13625,3.2558200694241,high,0.9999,6-15,7,7
69,38,ep069_task038,test,13637,0.0,low,0.99,16-28,28,28
69,51,ep069_task051,test,13650,0.0,low,0.999,16-28,18,18
69,63,ep069_task063,test,13662,3.63655369968988,high,0.999,16-28,26,26
69,76,ep069_task076,test,13675,1.1237170304144233,medium,0.9999,6-15,15,15
69,88,ep069_task088,test,13687,2.1379568940029845,high,0.9999,16-28,18,18
69,100,ep069_task100,test,13699,3.647545331340094,high,0.9999,16-28,16,16
69,113,ep069_task113,test,13712,3.985202282681761,high,0.99,16-28,21,21
69,125,ep069_task125,test,13724,0.0,low,0.999,16-28,18,18
69,138,ep069_task138,test,13737,1.964941106684674,high,0.9,16-28,28,28
69,150,ep069_task150,test,13749,1.327408847240133,medium,0.9,16-28,28,28
69,163,ep069_task163,test,13762,0.0,low,0.9,16-28,28,28
69,175,ep069_task175,test,13774,0.0,low,0.9,16-28,28,28
69,188,ep069_task188,test,13787,0.0,low,0.99,16-28,28,28
69,200,ep069_task200,test,13799,2.6194751433433994,high,0.9999,1-5,3,3
73,1,ep073_task001,test,14400,0.0,low,0.99,16-28,28,28
73,13,ep073_task013,test,14412,1.4534933692112009,medium,0.999,16-28,28,28
73,26,ep073_task026,test,14425,4.322010860900563,high,0.9999,16-28,17,17
73,38,ep073_task038,test,14437,2.051444632668411,high,0.99,16-28,28,28
73,51,ep073_task051,test,14450,3.02440749946118,high,0.999,16-28,27,27
73,63,ep073_task063,test,14462,0.0,low,0.999,16-28,28,28
73,76,ep073_task076,test,14475,0.0,low,0.9999,16-28,20,20
73,88,ep073_task088,test,14487,0.5993021576487303,medium,0.9999,16-28,27,27
73,100,ep073_task100,test,14499,2.036638134895626,high,0.9999,16-28,20,20
73,113,ep073_task113,test,14512,2.3352430832221254,high,0.99,16-28,28,28
73,125,ep073_task125,test,14524,3.4611201525050603,high,0.999,16-28,23,23
73,138,ep073_task138,test,14537,0.0,low,0.9,16-28,28,28
73,150,ep073_task150,test,14549,1.8144617688338687,high,0.9,16-28,28,28
73,163,ep073_task163,test,14562,0.3561931132322965,medium,0.9,16-28,28,28
73,175,ep073_task175,test,14574,2.5213776450003578,high,0.9,16-28,28,28
73,188,ep073_task188,test,14587,0.4406152787126416,medium,0.99,16-28,28,28
73,200,ep073_task200,test,14599,0.0,low,0.9999,1-5,3,3
96,1,ep096_task001,test,19000,0.0,low,0.99,16-28,28,28
96,13,ep096_task013,test,19012,0.0,low,0.999,16-28,28,28
96,26,ep096_task026,test,19025,2.319085166802543,high,0.9999,16-28,23,23
96,38,ep096_task038,test,19037,0.0,low,0.99,16-28,28,28
96,51,ep096_task051,test,19050,0.0,low,0.999,16-28,27,27
96,63,ep096_task063,test,19062,0.0,low,0.999,16-28,28,28
96,76,ep096_task076,test,19075,0.0,low,0.9999,16-28,23,23
96,88,ep096_task088,test,19087,1.1209112563404164,medium,0.9999,16-28,27,27
96,100,ep096_task100,test,19099,2.7592664024292213,high,0.9999,16-28,23,23
96,113,ep096_task113,test,19112,0.919067399097133,medium,0.99,16-28,28,28
96,125,ep096_task125,test,19124,0.019100816687569022,low,0.999,16-28,26,26
96,138,ep096_task138,test,19137,0.0,low,0.9,16-28,28,28
96,150,ep096_task150,test,19149,1.106326600778837,medium,0.9,16-28,28,28
96,163,ep096_task163,test,19162,0.0,low,0.9,16-28,28,28
96,175,ep096_task175,test,19174,2.9045639219805026,high,0.9,16-28,28,28
96,188,ep096_task188,test,19187,0.0,low,0.99,16-28,28,28
96,200,ep096_task200,test,19199,4.427925131120897,high,0.9999,16-28,16,16
99,1,ep099_task001,test,19600,0.0,low,0.99,16-28,28,28
99,13,ep099_task013,test,19612,0.5602697198807518,medium,0.999,16-28,24,24
99,26,ep099_task026,test,19625,2.3751250843701044,high,0.9999,1-5,5,5
99,38,ep099_task038,test,19637,0.0,low,0.99,16-28,28,28
99,51,ep099_task051,test,19650,0.0,low,0.999,16-28,17,17
99,63,ep099_task063,test,19662,0.0,low,0.999,16-28,25,25
99,76,ep099_task076,test,19675,0.6175138804255884,medium,0.9999,6-15,6,6
99,88,ep099_task088,test,19687,0.0,low,0.9999,16-28,21,21
99,100,ep099_task100,test,19699,0.0,low,0.9999,6-15,11,11
99,113,ep099_task113,test,19712,0.36721890529061585,medium,0.99,16-28,21,21
99,125,ep099_task125,test,19724,1.955350890285412,high,0.999,6-15,15,15
