lens,horizon,coupling,value_source,advantage_type,n,nonzero_reference_count,pearson,spearman,sign_agreement,normalized_mae,quartile_agreement,sign_agreement_including_zeros
production_smdp,5,easy,V1,raw,826,801,0.12687434936549294,0.152188458908591,0.6017478152309613,1.0254210989355728,0.2784503631961259,0.5835351089588378
production_smdp,5,easy,V1,normalized,826,801,0.12369872686783015,0.1515936260170644,0.5218476903870163,1.0283762049607943,0.2627118644067797,0.5060532687651331
production_smdp,5,easy,V2,raw,826,801,0.12687434315276636,0.1521880010958342,0.6017478152309613,1.0254210962802262,0.2784503631961259,0.5835351089588378
production_smdp,5,easy,V2,normalized,826,801,0.123698713133046,0.1515936260170644,0.5218476903870163,1.0283762129536738,0.2627118644067797,0.5060532687651331
production_smdp,5,easy,V3,raw,826,801,0.13592307023528796,0.15346165666190031,0.5218476903870163,1.0171050611903292,0.2820823244552058,0.5060532687651331
production_smdp,5,easy,V3,normalized,826,801,0.13349574543360324,0.15455695395184463,0.5156054931335831,1.0207887227365793,0.2784503631961259,0.5
production_smdp,10,coupled,V0,raw,174,174,0.14650508643046045,0.12309803809903472,0.5862068965517241,1.0181309982069007,0.3045977011494253,0.5862068965517241
production_smdp,10,coupled,V0,normalized,174,174,0.16362538188857798,0.12854694040263104,0.5804597701149425,1.0135632906828134,0.3103448275862069,0.5804597701149425
production_smdp,10,coupled,V1,raw,174,174,0.14646574898951079,0.12309803809903472,0.5862068965517241,1.0181642636795085,0.3045977011494253,0.5862068965517241
production_smdp,10,coupled,V1,normalized,174,174,0.16358557381741684,0.12862666932429737,0.5804597701149425,1.0135847880689492,0.3103448275862069,0.5804597701149425
production_smdp,10,coupled,V2,raw,174,174,0.14646573966688806,0.12309803809903472,0.5862068965517241,1.0181642754050941,0.3045977011494253,0.5862068965517241
production_smdp,10,coupled,V2,normalized,174,174,0.16358556454222534,0.12862666932429737,0.5804597701149425,1.0135847908910263,0.3103448275862069,0.5804597701149425
production_smdp,10,coupled,V3,raw,174,174,0.15592442432676207,0.09228850479797261,0.5344827586206896,1.0210159722548793,0.3103448275862069,0.5344827586206896
production_smdp,10,coupled,V3,normalized,174,174,0.17356376962307665,0.10723426065662461,0.5402298850574713,1.0086404724992568,0.27586206896551724,0.5402298850574713
production_smdp,10,easy,V0,raw,826,801,0.12478942844098888,0.152889469840757,0.602996254681648,1.0255625461244937,0.2772397094430993,0.5847457627118644
production_smdp,10,easy,V0,normalized,826,801,0.12193404571555735,0.1522486302928051,0.5205992509363296,1.028564786861611,0.26150121065375304,0.5048426150121066
production_smdp,10,easy,V1,raw,826,801,0.12476143227578099,0.15284901218852623,0.602996254681648,1.0255666826016598,0.2772397094430993,0.5847457627118644
production_smdp,10,easy,V1,normalized,826,801,0.12190682833429067,0.15227636514810258,0.5205992509363296,1.028566391737391,0.26150121065375304,0.5048426150121066
production_smdp,10,easy,V2,raw,826,801,0.12476142666972932,0.15284855437572556,0.602996254681648,1.0255666809167263,0.2772397094430993,0.5847457627118644
production_smdp,10,easy,V2,normalized,826,801,0.12190681476622613,0.15227636514810258,0.5205992509363296,1.028566397689126,0.26150121065375304,0.5048426150121066
production_smdp,10,easy,V3,raw,826,801,0.13419171949430328,0.15449611535475272,0.5205992509363296,1.0165073955481503,0.28329297820823246,0.5048426150121066
production_smdp,10,easy,V3,normalized,826,801,0.13209415741337857,0.1556275448231246,0.5143570536828964,1.019493159035431,0.2796610169491525,0.49878934624697335
production_smdp,20,coupled,V0,raw,174,174,0.1461754190804838,0.1214487884051368,0.5862068965517241,1.0193371043136945,0.3103448275862069,0.5862068965517241
production_smdp,20,coupled,V0,normalized,174,174,0.16357682995118156,0.12765625444915857,0.5804597701149425,1.0149576586117166,0.3218390804597701,0.5804597701149425
production_smdp,20,coupled,V1,raw,174,174,0.14613646768103464,0.1214487884051368,0.5862068965517241,1.0193638660054227,0.3103448275862069,0.5862068965517241
production_smdp,20,coupled,V1,normalized,174,174,0.16353751619840487,0.12773370540163445,0.5804597701149425,1.0149791559978525,0.3218390804597701,0.5804597701149425
production_smdp,20,coupled,V2,raw,174,174,0.146136458530416,0.1214487884051368,0.5862068965517241,1.0193638741314501,0.3103448275862069,0.5862068965517241
production_smdp,20,coupled,V2,normalized,174,174,0.16353750671314268,0.12773370540163445,0.5804597701149425,1.0149791588199295,0.3218390804597701,0.5804597701149425
