trial_id,policy,R_req,tasks,mean_reward,mean_latency,p50_latency,p90_latency,p95_latency,overall_rsr,feasibility_rate,conditional_rsr,avoidable_violation_rate,unavoidable_violation_rate,empty_safe_set_rate,mean_empty_deficit,p95_empty_deficit,avoidable_violation_count,unavoidable_violation_count,mean_safe_set_size,pair_selection_hhi,pair_selection_entropy,top1_pair_frequency,unique_selected_pairs,pair_78_frequency,mean_masked_entropy
3,flat,0.99,1000,52.25339149823127,3.1316236226530307,2.496790021414938,6.105708968929301,8.348132544695071,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,27.356,1.0,-0.0,1.0,1,1.0,2.4286279277801515
3,flat,0.999,1000,47.73561927667141,3.4524078649388095,2.7097910489882935,6.686120669333989,8.445383125644488,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,22.041,1.0,-0.0,1.0,1,1.0,2.405211378097534
3,flat,0.9999,1000,32.98434899044168,3.6039922623238505,2.7711414643708707,6.859348152727177,8.564702635731395,0.767,0.862,0.8897911832946636,0.095,0.138,0.138,6.930862004996635e-05,0.00017599408874026,95,138,8.902,1.0,-0.0,1.0,1,1.0,2.386204583644867
3,masked_greedy,0.9,1000,48.631148739096055,3.171199474113615,2.6488384621811605,5.663196693786469,7.094636918043358,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,27.976,0.9605739999999999,0.11870139503006542,0.98,5,0.98,3.2469646189212797
3,masked_greedy,0.99,1000,54.3266389852194,2.8988361273479457,2.4555854079828174,5.440247671235949,6.677296169033798,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,27.356,0.972302,0.0861979680528782,0.986,5,0.986,3.225674029827118
3,masked_greedy,0.999,1000,51.16933636719444,3.1252276805650494,2.501986566839548,5.502113898584386,7.466111753781096,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,22.041,0.960602,0.11180188955400375,0.98,3,0.98,2.983366902947426
3,masked_greedy,0.9999,1000,41.15399288765896,3.172108119284616,2.6040957740982407,5.682417584791034,7.425566368003444,0.862,0.862,1.0,0.0,0.138,0.138,6.930862004996635e-05,0.00017599408874026,0,138,8.902,0.5882120000000001,0.9684722828779619,0.759,8,0.759,1.7279706839919091
3,masked_stochastic,0.9,1000,59.71518811253649,2.153521440323237,2.140359905931163,3.3108239125173498,3.7542266880743727,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,27.976,0.044354000000000005,3.2128444552583377,0.071,28,0.068,3.23859326338768
3,masked_stochastic,0.99,1000,65.14493356423681,1.9498487446700388,1.8580297242236345,3.187224972604554,3.5939831986825594,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,27.356,0.041916,3.2387118301094104,0.058,28,0.058,3.2182351191043854
3,masked_stochastic,0.999,1000,64.96102592248404,1.950224263709703,1.8610129955736525,3.1719492486377803,3.5403664934146746,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,22.041,0.04817199999999999,3.13464218017805,0.077,27,0.077,2.9766007920503617
3,masked_stochastic,0.9999,1000,53.482704909752776,2.0433231550581628,1.991563879866049,3.051436075185029,3.513144304269341,0.862,0.862,1.0,0.0,0.138,0.138,6.930862004996635e-05,0.00017599408874026,0,138,8.902,0.093214,2.6647054419457934,0.172,28,0.126,1.725286876499653
3,pair,0.9,1000,45.60560842769315,3.4759626780724866,2.8027825815648986,6.319246195179438,8.263069433303894,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,27.976,1.0,-0.0,1.0,1,1.0,2.346447637796402
3,pair,0.99,1000,52.25339149823127,3.1316236226530307,2.496790021414938,6.105708968929301,8.348132544695071,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,27.356,1.0,-0.0,1.0,1,1.0,2.3311831488609314
3,pair,0.999,1000,47.73561927667141,3.4524078649388095,2.7097910489882935,6.686120669333989,8.445383125644488,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,22.041,1.0,-0.0,1.0,1,1.0,2.321052169084549
3,pair,0.9999,1000,32.98434899044168,3.6039922623238505,2.7711414643708707,6.859348152727177,8.564702635731395,0.767,0.862,0.8897911832946636,0.095,0.138,0.138,6.930862004996635e-05,0.00017599408874026,95,138,8.902,1.0,-0.0,1.0,1,1.0,2.315494843006134
4,flat,0.9,1000,39.91126983767211,4.32893993477127,3.305934644388839,8.295245747150144,10.664255368748039,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,27.991,0.9880720000000001,0.036677938750134136,0.994,2,0.0,2.7362447664737704
4,flat,0.99,1000,47.871583483797686,3.797900559974912,2.7165181822795432,7.46813225001542,10.291618062503064,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,27.489,0.992032,0.02607783298339765,0.996,2,0.0,2.731606239795685
4,flat,0.999,1000,43.404948877599985,4.329298227166749,3.284140376593456,8.373021514239069,11.448930722221036,0.997,1.0,0.997,0.003,0.0,0.0,0.0,0.0,3,0,22.795,1.0,-0.0,1.0,1,0.0,2.7243245940208434
4,flat,0.9999,1000,26.066324962554763,4.511805417476773,3.2281523067711433,9.354140403849255,12.131106094752543,0.729,0.932,0.7821888412017167,0.203,0.068,0.068,4.805966977929202e-05,0.0001244851538345,203,68,10.27,1.0,-0.0,1.0,1,0.0,2.7175897817611694
4,masked_greedy,0.9,1000,46.34799515345843,3.453995473286067,2.721463263875364,6.313384949884105,8.43106821715064,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,27.991,0.9435739999999999,0.13852638852802382,0.971,3,0.971,3.179057824373245
