group_type,group_value,metric,count,mean,std,p50,p90
safe_set_size,25,current_task_absolute_share,1806,0.9999999999999816,7.237597932809149e-15,0.9999999999999827,0.99999999999999
safe_set_size,25,previous_tasks_absolute_share,1806,0.0,0.0,0.0,0.0
safe_set_size,25,other_absolute_share,1806,0.0,0.0,0.0,0.0
safe_set_size,26,current_task_attribution_ratio,1688,0.999999999999981,7.386720758542162e-15,0.999999999999982,0.9999999999999892
safe_set_size,26,signed_current_task_share,1688,1.0000000004531424,2.557176192920727e-08,1.0000000012191752,1.0000000334123953
safe_set_size,26,current_task_absolute_share,1688,0.999999999999981,7.386720758542162e-15,0.999999999999982,0.9999999999999892
safe_set_size,26,previous_tasks_absolute_share,1688,0.0,0.0,0.0,0.0
safe_set_size,26,other_absolute_share,1688,0.0,0.0,0.0,0.0
safe_set_size,27,current_task_attribution_ratio,2928,0.999999999999981,7.558710134062266e-15,0.9999999999999822,0.9999999999999901
safe_set_size,27,signed_current_task_share,2928,1.0000000012168573,2.6107480295205012e-08,1.0000000012524073,1.0000000356920802
safe_set_size,27,current_task_absolute_share,2928,0.999999999999981,7.558710134062266e-15,0.9999999999999822,0.9999999999999901
safe_set_size,27,previous_tasks_absolute_share,2928,0.0,0.0,0.0,0.0
safe_set_size,27,other_absolute_share,2928,0.0,0.0,0.0,0.0
safe_set_size,28,current_task_attribution_ratio,30649,0.9999999999999823,7.614413084531196e-15,0.9999999999999839,0.999999999999991
safe_set_size,28,signed_current_task_share,30649,0.9999999985847621,2.5977344871145416e-08,0.9999999966964921,1.0000000342799633
safe_set_size,28,current_task_absolute_share,30649,0.9999999999999823,7.614413084531196e-15,0.9999999999999839,0.999999999999991
safe_set_size,28,previous_tasks_absolute_share,30649,0.0,0.0,0.0,0.0
safe_set_size,28,other_absolute_share,30649,0.0,0.0,0.0,0.0
load_tertile,high,current_task_attribution_ratio,20000,0.9999999999999781,1.5051668753292078e-14,0.9999999999999808,0.9999999999999893
load_tertile,high,signed_current_task_share,20000,0.9999999989941752,2.5673647851187894e-08,0.9999999973105406,1.0000000341420503
load_tertile,high,current_task_absolute_share,20000,0.9999999999999781,1.5051668753292078e-14,0.9999999999999808,0.9999999999999893
load_tertile,high,previous_tasks_absolute_share,20000,0.0,0.0,0.0,0.0
load_tertile,high,other_absolute_share,20000,0.0,0.0,0.0,0.0
load_tertile,low,current_task_attribution_ratio,20000,0.9999999999999807,1.5105765218390784e-14,0.9999999999999833,0.9999999999999902
load_tertile,low,signed_current_task_share,20000,0.9999999983669113,2.646841433067391e-08,0.9999999961849223,1.000000035475021
load_tertile,low,current_task_absolute_share,20000,0.9999999999999807,1.5105765218390784e-14,0.9999999999999833,0.9999999999999902
load_tertile,low,previous_tasks_absolute_share,20000,0.0,0.0,0.0,0.0
load_tertile,low,other_absolute_share,20000,0.0,0.0,0.0,0.0
load_tertile,middle,current_task_attribution_ratio,20000,0.9999999999999801,1.5124609155142336e-14,0.9999999999999823,0.99999999999999
load_tertile,middle,signed_current_task_share,20000,0.9999999985730916,2.598433830682667e-08,0.9999999961849223,1.0000000344524125
load_tertile,middle,current_task_absolute_share,20000,0.9999999999999801,1.5124609155142336e-14,0.9999999999999823,0.99999999999999
load_tertile,middle,previous_tasks_absolute_share,20000,0.0,0.0,0.0,0.0
load_tertile,middle,other_absolute_share,20000,0.0,0.0,0.0,0.0
