flat_index,transition_id,episode,task_id,target_snapshot_sha256,snapshot_hash_match,next_state_matches_next_row,next_mask_matches_collection,pi_old_matches_collection,terminal,terminal_no_bootstrap,delta_t,discount_term_online,discount_term_gamma_power_delta,next_q_expectation_recomputed,next_q_expectation_online,bellman_target_recomputed,bellman_target_online,absolute_error,q_values_finite,effective_mask_size
40493,ep203:d094,203,94,a28bf13c8b8beb4f90385891a77567902f3938db1df341dd379568ee38e4779a,True,True,True,True,False,True,1.1191686391830444,0.8887705206871033,0.8887705418559658,23.925065722623856,23.925064086914062,60.46570967860746,60.46570587158203,3.807025429125588e-06,True,8
46350,ep232:d151,232,151,911cc210b30f56ca1521fd15687d3317d4dc5d35fd6df46788bc4b4086a45986,True,True,True,True,False,True,0.15205883979797363,0.9841066598892212,0.984106655791698,27.742435800889968,27.742433547973633,94.33712221748232,94.33712005615234,2.161329973660031e-06,True,28
55413,ep278:d014,278,14,c837d032e9e3ec1761feb93a784b4eb26c135966ea12a42076b56a300a3c7799,True,True,True,True,False,True,0.07451657950878143,0.9921796321868896,0.9921796341858922,33.81598516387854,33.81598663330078,124.93371098218823,124.9337158203125,4.83812426921304e-06,True,24
48909,ep245:d110,245,110,973b518955a9c3424ea6155b6122ccf5df8d467013430e2a10a6bb74a8ef4f0d,True,True,True,True,False,True,0.5066309571266174,0.9480207562446594,0.9480207404154397,29.45980428410369,29.45980453491211,93.81856636104033,93.81856536865234,9.923879815687542e-07,True,7
52279,ep262:d080,262,80,70e4ecf6a059ffd34090d09fab062873b7196c6316f7d797d380b9b89d392818,True,True,True,True,False,True,0.19973093271255493,0.9791761040687561,0.9791761206980918,31.705139456065915,31.705137252807617,96.4123389427777,96.41233825683594,6.859417567284254e-07,True,28
54581,ep273:d182,273,182,eb10f04aba4a351bc4c7690e723939e354023fdc7670d367612b0c042f0c3859,True,True,True,True,False,True,0.48234716057777405,0.9504494071006775,0.9504494076468704,33.15981316581588,33.15980911254883,71.09375494490371,71.09375,4.944903707837511e-06,True,27
53277,ep267:d078,267,78,c6bc3db467dd70c82f2a41d7f0d55d254ea214b91db370071945df0908b54d1f,True,True,True,True,False,True,1.6777827739715576,0.8379707336425781,0.8379707712981801,32.366102243984905,32.36610794067383,104.00578046353883,104.00578308105469,2.6175158609476057e-06,True,28
53068,ep266:d069,266,69,a5a77146416ce7d916c8161e4a4de73b15f880b0759199d216203c0d0467dc98,True,True,True,True,False,True,0.47334495186805725,0.9513512849807739,0.9513513150357267,32.235667406883834,32.23566818237305,106.472794867076,106.47279357910156,1.2879744417659822e-06,True,11
57683,ep289:d084,289,84,6c06e5c6e2e101cd803fd24c7d9dd58f21018aa97998afb9cb8ad541609294d5,True,True,True,True,False,True,5.1099019050598145,0.5836918950080872,0.5836919608103517,35.27869415283203,35.27869415283203,72.72568072067452,72.72567749023438,3.2304401429428253e-06,True,1
50801,ep255:d002,255,2,57e2eab89a347cc70f9ca5ef31cf922b6bcf662ceb4ba25574d4d7c0364769c6,True,True,True,True,False,True,0.5721641182899475,0.9414975643157959,0.9414975750201703,30.778924113033515,30.778926849365234,102.33645164034584,102.33645629882812,4.658482282593468e-06,True,25
