state_id,trial_id,task_id,action_index,pair,next_task_id,interval_duration_seconds,next_effective_mask_size,next_q_expectation,next_action_q_spread,next_action_q_weighted_std,discount_term,bootstrap_term
trial_000_ep1_task002,0,2,4,"(1, 6)",3,0.6688843538058558,7,36.86653672288845,0.0027084350585937,0.0006776772274695,0.9319519695590118,34.35784150971553
trial_000_ep1_task002,0,2,5,"(1, 7)",3,0.6688843538058558,7,36.86649009260814,0.0036735534667968,0.0010765229338773,0.9319519695590118,34.35779805253395
trial_000_ep1_task002,0,2,6,"(1, 8)",3,0.6688843538058558,7,36.866424432400166,0.0024452209472656,0.0007213238059113,0.9319519695590118,34.35773686037381
trial_000_ep1_task002,0,2,7,"(2, 3)",3,0.6688843538058558,7,36.866190667383,0.0037117004394531,0.0009673058782431,0.9319519695590118,34.35751900260564
trial_000_ep1_task002,0,2,8,"(2, 4)",3,0.6688843538058558,7,36.86631257758084,0.0034675598144531,0.0010123126232534,0.9319519695590118,34.357632617054634
trial_000_ep1_task002,0,2,10,"(2, 6)",3,0.6688843538058558,7,36.86653672288845,0.0027084350585937,0.0006776772274695,0.9319519695590118,34.35784150971553
trial_000_ep1_task002,0,2,11,"(2, 7)",3,0.6688843538058558,7,36.86649009260814,0.0036735534667968,0.0010765229338773,0.9319519695590118,34.35779805253395
trial_000_ep1_task002,0,2,12,"(2, 8)",3,0.6688843538058558,7,36.866424432400166,0.0024452209472656,0.0007213238059113,0.9319519695590118,34.35773686037381
trial_000_ep1_task002,0,2,13,"(3, 4)",3,0.6688843538058558,7,36.86637152833361,0.0037117004394531,0.0010521828615627,0.9319519695590118,34.357687556324784
trial_000_ep1_task002,0,2,14,"(3, 5)",3,0.6688843538058558,7,36.866190667383,0.0037117004394531,0.0009673058782431,0.9319519695590118,34.35751900260564
trial_000_ep1_task002,0,2,15,"(3, 6)",3,0.6688843538058558,7,36.866543795533424,0.0029525756835937,0.0007129643909115,0.9319519695590118,34.35784810108094
trial_000_ep1_task002,0,2,16,"(3, 7)",3,0.6688843538058558,7,36.86654132332289,0.0036163330078125,0.0010732587533798,0.9319519695590118,34.357845797099465
trial_000_ep1_task002,0,2,17,"(3, 8)",3,0.6688843538058558,7,36.8664850294488,0.0026893615722656,0.000762923581079,0.9319519695590118,34.35779333391263
trial_000_ep1_task002,0,2,18,"(4, 5)",3,0.6688843538058558,7,36.86631257758084,0.0034675598144531,0.0010123126232534,0.9319519695590118,34.357632617054634
trial_000_ep1_task002,0,2,19,"(4, 6)",3,0.6688843538058558,7,36.86660704501569,0.0027084350585937,0.0007444670597697,0.9319519695590118,34.35790704656051
trial_000_ep1_task002,0,2,20,"(4, 7)",3,0.6688843538058558,7,36.86654642389961,0.0036735534667968,0.0010353522708187,0.9319519695590118,34.357850550591984
trial_000_ep1_task002,0,2,21,"(4, 8)",3,0.6688843538058558,7,36.86661161756998,0.0024452209472656,0.0007719880424913,0.9319519695590118,34.35791130796149
trial_000_ep1_task002,0,2,22,"(5, 6)",3,0.6688843538058558,7,36.86653672288845,0.0027084350585937,0.0006776772274695,0.9319519695590118,34.35784150971553
