Episode,Task_ID,R_req,rho,actor_score,actor_probability,oracle_reward
1,4,0.9,0.27631039489762976,2.7662010192871094,0.20613382756710052,34.660076219302276
1,4,0.9,0.2874104394954674,2.772453784942627,0.2071589231491089,34.660076219302276
1,4,0.9,0.29851048409330505,2.7786765098571777,0.20818281173706055,34.660076219302276
1,4,0.9,0.3096105286911427,2.7848691940307617,0.2092054933309555,34.660076219302276
1,4,0.9,0.32071057328898034,2.791032314300537,0.21022693812847137,34.660076219302276
1,4,0.9,0.3318106178868181,2.797165870666504,0.21124710142612457,34.660076219302276
1,4,0.9,0.34291066248465574,2.803269386291504,0.21226587891578674,34.660076219302276
1,4,0.9,0.3540107070824934,2.809342861175537,0.21328319609165192,34.660076219302276
1,4,0.99,0.021009369147363816,2.5323166847229004,0.18614889681339264,34.660076219302276
1,4,0.99,0.032109413745201466,2.539571762084961,0.1872505247592926,34.660076219302276
1,4,0.99,0.04320945834303912,2.5467967987060547,0.188352569937706,34.660076219302276
1,4,0.99,0.05430950294087677,2.5539913177490234,0.18945489823818207,34.660076219302276
1,4,0.99,0.06540954753871442,2.5611562728881836,0.19055764377117157,34.660076219302276
1,4,0.99,0.07650959213655206,2.568291187286377,0.1916605830192566,34.660076219302276
1,4,0.99,0.08760963673438972,2.575395107269287,0.1927635669708252,34.660076219302276
1,4,0.99,0.09870968133222738,2.5824694633483887,0.1938667893409729,34.660076219302276
1,4,0.99,0.10980972593006502,2.5895133018493652,0.1949699968099594,34.660076219302276
1,4,0.99,0.12090977052790267,2.596527099609375,0.19607320427894592,34.660076219302276
1,4,0.99,0.13200981512574034,2.6035099029541016,0.1971762329339981,34.660076219302276
1,4,0.99,0.14310985972357798,2.6104631423950195,0.1982792466878891,34.660076219302276
1,4,0.99,0.15420990432141563,2.6173853874206543,0.19938193261623383,34.660076219302276
1,4,0.99,0.16530994891925327,2.624277114868164,0.20048430562019348,34.660076219302276
1,4,0.99,0.17640999351709094,2.631138801574707,0.20158642530441284,34.660076219302276
1,4,0.99,0.18751003811492858,2.637969493865967,0.2026880830526352,34.660076219302276
1,4,0.99,0.19861008271276623,2.6447701454162598,0.2037893384695053,34.660076219302276
1,4,0.99,0.20971012731060387,2.6515398025512695,0.20488998293876648,34.660076219302276
1,4,0.99,0.22081017190844152,2.6582789421081543,0.2059900313615799,34.660076219302276
1,4,0.99,0.2319102165062792,2.664987564086914,0.20708942413330078,34.660076219302276
1,4,0.99,0.24301026110411683,2.671665668487549,0.20818814635276794,34.660076219302276
1,4,0.99,0.2541103057019545,2.6783132553100586,0.20928609371185303,34.660076219302276
1,4,0.99,0.2652103502997921,2.684929847717285,0.21038316190242767,34.660076219302276
1,4,0.99,0.27631039489762976,2.6915159225463867,0.2114793360233307,34.660076219302276
1,4,0.99,0.2874104394954674,2.6980714797973633,0.21257458627223969,34.660076219302276
1,4,0.99,0.29851048409330505,2.7045960426330566,0.21366874873638153,34.660076219302276
1,4,0.99,0.3096105286911427,2.711090087890625,0.2147618681192398,34.660076219302276
1,4,0.99,0.32071057328898034,2.7175536155700684,0.21585391461849213,34.660076219302276
1,4,0.99,0.3318106178868181,2.7239861488342285,0.21694466471672058,34.660076219302276
1,4,0.99,0.34291066248465574,2.7303881645202637,0.21803420782089233,34.660076219302276
1,4,0.99,0.3540107070824934,2.736759662628174,0.2191224843263626,34.660076219302276
1,4,0.999,0.021009369147363816,2.430980682373047,0.18923881649971008,-10.886579362110986
1,4,0.999,0.032109413745201466,2.438546657562256,0.19040238857269287,-10.886579362110986
1,4,0.999,0.04320945834303912,2.4460830688476562,0.1915668249130249,-10.886579362110986
1,4,0.999,0.05430950294087677,2.4535889625549316,0.19273194670677185,-10.886579362110986
1,4,0.999,0.06540954753871442,2.4610652923583984,0.19389782845973969,-10.886579362110986
1,4,0.999,0.07650959213655206,2.4685115814208984,0.19506436586380005,-10.886579362110986
1,4,0.999,0.08760963673438972,2.4759273529052734,0.19623138010501862,-10.886579362110986
1,4,0.999,0.09870968133222738,2.4833130836486816,0.19739888608455658,-10.886579362110986
1,4,0.999,0.10980972593006502,2.490668773651123,0.19856686890125275,-10.886579362110986
1,4,0.999,0.12090977052790267,2.4979939460754395,0.19973517954349518,-10.886579362110986
