state_id,trial_id,task_id,requirement,load_tertile,safe_set_size,reference_action,alternative_action,initial_peak_queue_difference_seconds,peak_step,half_life_50_steps,half_life_25_steps,half_life_10_steps,right_censored
trial_000_ep1_task021,0,21,0.9,medium,28,6,15,2.803476006586866,2,3.0,3.0,3.0,False
trial_000_ep1_task021,0,21,0.9,medium,28,6,16,2.803476006586866,2,3.0,3.0,3.0,False
trial_000_ep1_task021,0,21,0.9,medium,28,6,17,2.803476006586866,2,3.0,3.0,3.0,False
trial_000_ep1_task021,0,21,0.9,medium,28,6,18,2.803476006586866,2,3.0,3.0,3.0,False
trial_000_ep1_task021,0,21,0.9,medium,28,6,19,2.803476006586866,2,3.0,3.0,3.0,False
trial_000_ep1_task021,0,21,0.9,medium,28,6,20,2.803476006586866,2,3.0,3.0,3.0,False
trial_000_ep1_task021,0,21,0.9,medium,28,6,21,2.803476006586866,2,3.0,3.0,3.0,False
trial_000_ep1_task021,0,21,0.9,medium,28,6,22,2.803476006586866,2,3.0,3.0,3.0,False
trial_000_ep1_task021,0,21,0.9,medium,28,6,23,2.803476006586866,2,3.0,3.0,3.0,False
trial_000_ep1_task021,0,21,0.9,medium,28,6,24,2.803476006586866,2,3.0,3.0,3.0,False
trial_000_ep1_task021,0,21,0.9,medium,28,6,25,2.803476006586866,2,3.0,3.0,3.0,False
trial_000_ep1_task021,0,21,0.9,medium,28,6,26,2.803476006586866,2,3.0,3.0,3.0,False
trial_000_ep1_task021,0,21,0.9,medium,28,6,27,2.803476006586866,2,3.0,3.0,3.0,False
trial_000_ep1_task022,0,22,0.9,medium,28,4,0,0.0,1,,,,False
trial_000_ep1_task022,0,22,0.9,medium,28,4,1,0.0,1,,,,False
trial_000_ep1_task022,0,22,0.9,medium,28,4,2,0.0,1,,,,False
trial_000_ep1_task022,0,22,0.9,medium,28,4,3,0.0,1,,,,False
trial_000_ep1_task022,0,22,0.9,medium,28,4,5,0.0,1,,,,False
trial_000_ep1_task022,0,22,0.9,medium,28,4,6,0.0,1,,,,False
trial_000_ep1_task022,0,22,0.9,medium,28,4,7,0.3722803371016372,1,2.0,2.0,2.0,False
trial_000_ep1_task022,0,22,0.9,medium,28,4,8,0.3722803371016372,1,2.0,2.0,2.0,False
trial_000_ep1_task022,0,22,0.9,medium,28,4,9,0.3722803371016372,1,2.0,2.0,2.0,False
trial_000_ep1_task022,0,22,0.9,medium,28,4,10,0.3722803371016372,1,2.0,2.0,2.0,False
