trial_id,policy,metric,old_value,rerun_value,absolute_diff,match
4,Masked PPO stochastic,avoidable_violation_count,0.0,0.0,0.0,True
5,Masked PPO stochastic,avoidable_violation_count,0.0,0.0,0.0,True
6,Masked PPO stochastic,avoidable_violation_count,0.0,0.0,0.0,True
7,Masked PPO stochastic,avoidable_violation_count,0.0,0.0,0.0,True
8,Masked PPO stochastic,avoidable_violation_count,0.0,0.0,0.0,True
9,Masked PPO stochastic,avoidable_violation_count,0.0,0.0,0.0,True
0,Masked PPO stochastic,avoidable_violation_rate,0.0,0.0,0.0,True
1,Masked PPO stochastic,avoidable_violation_rate,0.0,0.0,0.0,True
2,Masked PPO stochastic,avoidable_violation_rate,0.0,0.0,0.0,True
3,Masked PPO stochastic,avoidable_violation_rate,0.0,0.0,0.0,True
4,Masked PPO stochastic,avoidable_violation_rate,0.0,0.0,0.0,True
5,Masked PPO stochastic,avoidable_violation_rate,0.0,0.0,0.0,True
6,Masked PPO stochastic,avoidable_violation_rate,0.0,0.0,0.0,True
7,Masked PPO stochastic,avoidable_violation_rate,0.0,0.0,0.0,True
8,Masked PPO stochastic,avoidable_violation_rate,0.0,0.0,0.0,True
9,Masked PPO stochastic,avoidable_violation_rate,0.0,0.0,0.0,True
0,Masked PPO stochastic,unavoidable_violation_count,173.0,173.0,0.0,True
1,Masked PPO stochastic,unavoidable_violation_count,103.0,103.0,0.0,True
2,Masked PPO stochastic,unavoidable_violation_count,170.0,170.0,0.0,True
3,Masked PPO stochastic,unavoidable_violation_count,138.0,138.0,0.0,True
