trial_id,policy,tasks,mean_reward,mean_latency,p50_latency,p90_latency,p95_latency,overall_rsr,highest_rsr,feasibility_rate,conditional_rsr,conditional_rsr_defined,avoidable_violation_count,avoidable_violation_rate,unavoidable_violation_count,unavoidable_violation_rate,mean_selected_reliability_deficit,p95_selected_reliability_deficit,mean_best_achievable_deficit,p95_best_achievable_deficit,mean_safe_set_size,pair_selection_hhi,pair_selection_entropy,top1_pair_frequency,unique_selected_pairs,pair_78_frequency,maximum_server_selection_share,maximum_server_utilization,maximum_mean_queue_length,maximum_p95_queue_length,mean_server_waiting_time
5,Safe Min-Latency,4000,65.66543115660157,1.8388378225697015,1.806895344916203,2.8243114876464714,3.1160517252147613,0.9715,0.886,0.9715,1.0,True,0,0.0,114,0.0285,2.687791757433694e-06,0.0,2.687791757433694e-06,0.0,21.52125,0.0836555,2.705820331374136,0.18225,26,0.18225,0.29275,0.3954730675922501,0.0886403523441422,1.0,0.22014003268478874
6,Safe Min-Latency,4000,65.91380235176057,1.8352940256347396,1.8104846337677003,2.8243114876464688,3.088660221014635,0.97525,0.901,0.97525,1.0,True,0,0.0,99,0.02475,1.993496701871156e-06,0.0,1.993496701871156e-06,0.0,21.96725,0.080683375,2.727893571820084,0.1745,26,0.1745,0.299125,0.3833350356885028,0.07323894900351449,1.0,0.22704691160145846
7,Safe Min-Latency,4000,66.3722341126399,1.8511387113236324,1.8359357774366174,2.8350189186446073,3.165309902168333,0.9875,0.95,0.9875,1.0,True,0,0.0,50,0.0125,9.017043428107274e-07,0.0,9.017043428107274e-07,0.0,22.172,0.0768985,2.7449016869118275,0.15875,25,0.15875,0.29675,0.3789784161977597,0.0793513332198254,1.0,0.24049272551403297
8,Safe Min-Latency,4000,65.09336829256384,1.8479938677510928,1.8312567047462949,2.8350189186446073,3.143342361201661,0.96625,0.872,0.96625,1.0,True,0,0.0,135,0.03375,7.615406350513943e-06,0.0,7.615406350513943e-06,0.0,21.60325,0.08029900000000001,2.719119760540863,0.1685,26,0.1685,0.29775,0.38691991169396667,0.08072574262524353,1.0,0.26068185044065667
9,Safe Min-Latency,4000,66.68277288285104,1.8388027157924458,1.8076577028323015,2.8350189186446073,3.117388160801207,0.98975,0.959,0.98975,1.0,True,0,0.0,41,0.01025,2.491996561750087e-07,0.0,2.491996561750087e-07,0.0,22.111,0.07845687500000001,2.728151797872141,0.1565,27,0.1565,0.292625,0.3862756566850967,0.0763937981495129,1.0,0.20064874242755532
0,Safe Random,4000,59.03451367730365,2.072610984959848,2.0002247145971808,3.2911974973061433,3.8092842504632927,0.95675,0.827,0.95675,1.0,True,0,0.0,173,0.04325,4.735685939346868e-06,0.0,4.735685939346868e-06,0.0,20.9215,0.041880375000000004,3.252413328191263,0.0785,28,0.0785,0.1755,0.2502331143777154,0.06117647087592374,0.0,0.3731713806688411
1,Safe Random,4000,60.14165805612094,2.0691721494830273,1.989088838119244,3.256610007926538,3.714292858187851,0.97425,0.897,0.97425,1.0,True,0,0.0,103,0.02575,1.5852536645366845e-06,0.0,1.5852536645366845e-06,0.0,21.58975,0.040503000000000004,3.271213694348377,0.07275,28,0.07275,0.17575,0.2516739627275122,0.05226751000723635,0.0,0.3429505552110969
2,Safe Random,4000,59.299421500471176,2.0689251977208953,2.000224714597188,3.284594992776372,3.7862469226165865,0.9575,0.83,0.9575,1.0,True,0,0.0,170,0.0425,4.157306232136504e-06,0.0,4.157306232136504e-06,0.0,20.92725,0.042950125,3.2475046314386007,0.08675,28,0.084,0.189875,0.2672809232411769,0.06274024882208566,1.0,0.36792347726940244
3,Safe Random,4000,59.45451922107631,2.0795444986169023,2.0023101693896592,3.2815230482856066,3.7413786801679065,0.9655,0.862,0.9655,1.0,True,0,0.0,138,0.0345,2.3911473917243296e-06,0.0,2.3911473917243296e-06,0.0,21.56875,0.039611499999999994,3.28011893670415,0.0625,28,0.05775,0.16725,0.23170567364848724,0.05556451571456676,0.0,0.38058962396237184
4,Safe Random,4000,60.583808156802505,2.0848065768249007,2.00620347202846,3.360928768730209,3.839456962227598,0.983,0.932,0.983,1.0,True,0,0.0,68,0.017,8.170143862480383e-07,0.0,8.170143862480383e-07,0.0,22.13625,0.040477874999999996,3.2713334797566973,0.077,28,0.077,0.1715,0.24344251032492192,0.06425311641486142,1.0,0.3610125735825449
5,Safe Random,4000,60.14731039071756,2.059544660680933,1.997901913781968,3.2463967162154033,3.670482968217058,0.9715,0.886,0.9715,1.0,True,0,0.0,114,0.0285,2.687791757433694e-06,0.0,2.687791757433694e-06,0.0,21.52125,0.041037500000000005,3.266073130883259,0.0765,28,0.0765,0.177125,0.2419257571427412,0.04980380253810276,0.0,0.3363030430072409
6,Safe Random,4000,60.12622364949331,2.0734381328903315,2.000224714597188,3.2360889850609764,3.789093356837002,0.97525,0.901,0.97525,1.0,True,0,0.0,99,0.02475,1.993496701871156e-06,0.0,1.993496701871156e-06,0.0,21.96725,0.041043500000000004,3.2668008813859983,0.083,28,0.083,0.1735,0.23874746505675512,0.0540936023300723,0.0,0.3668893214859228
7,Safe Random,4000,60.862976505698036,2.0738711145937416,2.0002247145971808,3.3080335572978474,3.7520038947941163,0.9875,0.95,0.9875,1.0,True,0,0.0,50,0.0125,9.017043428107274e-07,0.0,9.017043428107274e-07,0.0,22.172,0.039533625,3.2833117262777147,0.07,28,0.07,0.171,0.23643333398910574,0.053172802910437585,0.0,0.35119422511045173
